----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: 2015,  2016,  2017,  2018,  2019,  2020,  2021,  2022,  2023,  2024,  2025"
"     Activity Code: R21,  R01,  R43,  R44"
"     Limit to: Project Title,  Project Terms,  Project Abstracts"
"     Text Search: ("PCL" and ("drug delivery" or "controlled release" or "sustained release"; or "targeted delivery" or "drug carrier" or "therapeutic delivery" or "nanoparticle delivery")) (advanced)"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","Post Award Action Type","Assistance Listing Number","Funding Mechanism","Fiscal Year","Total Cost","Total Cost(Sub Projects)","Funding IC(s)","Direct Cost IC","Indirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11370459","7/30/2025","PA-20-185","3R01AR077761-05S1","3","R01","AR","077761","05","S1","MARQUITZ, ARON ","8/1/2024","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.846","Non-SBIR/STTR","2025","48042"," ","NIAMS","31420","16622"," ","48042",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11228403","7/29/2025","PA-20-185","5R01AR077761-05","5","R01","AR","077761","05","","MARQUITZ, ARON ","8/1/2024","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.846","Non-SBIR/STTR","2025","550847"," ","NIAMS","335883","214964"," ","550847",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11221100","11/7/2024","PA-24-254","3R01AR077761-04S1","3","R01","AR","077761","04","S1","MARQUITZ, ARON ","9/21/2021","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2024","7/31/2025"," ","93.846","Non-SBIR/STTR","2025","48042"," ","NIAMS","31420","16622"," ","48042",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11162999","11/6/2024","PA-24-254","7R01AR077761-04","7","R01","AR","077761","04","","MARQUITZ, ARON ","8/1/2024","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2024","7/31/2025"," ","93.846","Non-SBIR/STTR","2025","612051"," ","NIAMS","373202","238849"," ","612051",
"No NIH Category available","Abdomen;Address;Adjuvant;Adjuvant Therapy;Anatomy;Animal Model;Animals;Antineoplastic Agents;Beds;Binding;Biodistribution;Biomedical Engineering;Carbon Dioxide;Carbonates;Cell Cycle Kinetics;Cell Death;Clinical;Collaborations;Colon Carcinoma;Data;Death Rate;Development;Disease;Distant;Dose;Drug Delivery Systems;Drug Kinetics;Excision;Experimental Designs;Failure;Film;Glycerol;Histologic;Hour;Hydrolysis;Hyperthermia;Implant;In Vitro;Incidence;Invaded;Kidney;Kinetics;Microscopic;Modeling;Mus;Non-Small-Cell Lung Carcinoma;Operative Surgical Procedures;Organ Preservation;Paclitaxel;Pathology;Patient imaging;Patient-Focused Outcomes;Patients;Pattern;Pelvis;Perioperative;Pharmaceutical Preparations;Phase;Polymers;Prevention;Radiation therapy;Recurrence;Recurrent tumor;Reporting;Resected;Residual state;Retroperitoneal Sarcoma;Retroperitoneal Space;Risk;Sarcoma;Site;Soft tissue sarcoma;Solubility;Structure;Succinic Acids;Surface;Surgical Models;Surgical margins;Surgical sutures;Survival Rate;Testing;Therapeutic;Time;Tissues;Tumor Burden;Tumor Debulking;Visceral;X-Ray Computed Tomography;aqueous;biomaterial compatibility;biomedical referral center;caprolactone;chemotherapeutic agent;chemotherapy;cytotoxicity;efficacy evaluation;esterase;experience;experimental study;flexibility;healing;implantation;improved;in vivo;innovation;intraperitoneal therapy;intravenous administration;mortality;mouse model;novel strategies;patient derived xenograft model;perioperative morbidity;pre-clinical;prevent;safety assessment;side effect;standard of care;systemic toxicity;tumor","Supratherapeutic PTX Buttresses Reduce Locoregional Recurrence Rates Following Surgery for Soft Tissue Sarcomas","NarrativeThis proposal evaluates new supratherapeutic paclitaxel-loaded buttresses for tumor bed implantation to reducelocoregional recurrence rates after resection of retroperitoneal non-GIST abdominal and pelvic sarcomas. Thecurrent standard of care is multivisceral resection and adjuvant therapies including radiotherapy single-dosehyperthermic intraperitoneal chemotherapy and systemic chemotherapy fail to improve patient outcomes.This proposed approach has the potential to reduce tumor recurrence and extend survival via local applicationof high-dose adjuvant chemotherapeutics at the time of resection.","NCI","11138456","7/22/2025","PA-20-185","5R01CA272637-04","5","R01","CA","272637","04","","FU, YALI ","8/1/2022","7/31/2027","Bioengineering, Technology and Surgical Sciences Study Section[BTSS]"," ","10389764","RAUT, CHANDRAJIT PREMANAND","COLSON, YOLONDA L;GRINSTAFF, MARK W.","07","Unavailable","030811269","QN6MS4VN7BD1","030811269","QN6MS4VN7BD1","US","42.336107","-71.107481","1080401","BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA","Independent Hospitals","021156110","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.395","Non-SBIR/STTR","2025","712043"," ","NCI","581037","131006"," ","712043",
"No NIH Category available","Actins;Adopted;Affect;Air;Antibodies;Apical;Architecture;Biological Assay;CD47 gene;Cell Adhesion Molecules;Cell Differentiation process;Cell Physiology;Cell model;Cells;Characteristics;Chronic;Chronic Disease;Clinical;Collaborations;Complex;Crosslinker;Cultured Cells;Cytoplasm;Cytoskeleton;Data;Drug Controls;Drug Delivery Systems;Engineering;Epithelial Cells;Epithelium;F-Actin;Goals;Growth;Human;Impairment;In Vitro;Inflammation;Inflammatory;Integrins;Knowledge;Label;Laboratories;Ligand Binding;Liquid substance;Lung;Lung Diseases;Measurement;Measures;Mechanics;Membrane;Methods;Molecular;Molecular Conformation;Morphology;Nanostructures;Nanotopography;Nasal Epithelium;Nasal Polyps;Nasal cavity;Nose;Organoids;Otolaryngology;Patients;Permeability;Phenotype;Physiological;Polyps;Proteins;Proteome;Quality of life;Regulation;Resistance;Role;Scaffolding Protein;Series;Specificity;Structure;Structure of mucous membrane of nose;Surface;Talin;Testing;Tight Junctions;Tissue Banks;Topical application;Work;airway epithelium;cell growth;chronic rhinosinusitis;cohort;cytokine;density;design;design and construction;electric impedance;flexibility;fluorescence lifetime imaging;improved;live cell microscopy;macromolecule;manufacture;nanoscale;nanowire;novel;novel therapeutics;particle;pharmacologic;polycaprolactone;polyposis;pulmonary function;scaffold;sensor;subcutaneous;success;superresolution microscopy;transcytosis","Regulation of epithelial function using targeted nanowires","PROJECT NARRATIVEIn this project multifunctional biodegradable nanowires are being designed manufactured andtested for their ability to interact with lung and nasal epithelial cells. Complexes that target anapically expressed cell adhesion molecule 1 integrin are being screened to identify nanowiresthat physiologically regulate airway epithelial function. One goal of this study is to evaluate 1integrin as a target for the ability to improve the barrier function of the lung epithelium and as anovel therapeutic for chronic rhinosinusitis with nasal polyposis a chronic disease with criticallyfew treatment options.","NHLBI","11109551","8/8/2025","PA-20-185","5R01HL158979-04","5","R01","HL","158979","04","","SHENOY, SIDDHARTH KAUP","8/5/2022","5/31/2026","Biomaterials and Biointerfaces Study Section[BMBI]"," ","1929629","KOVAL, MICHAEL H.","DESAI, TEJAL A.","05","INTERNAL MEDICINE/MEDICINE","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.791247","-84.3249","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","303221007","UNITED STATES","N","6/1/2025","5/31/2026"," ","93.838","Non-SBIR/STTR","2025","612502"," ","NHLBI","484268","128234"," ","612502",
"No NIH Category available","Acoustics;Adjuvant;American;Amino Acids;Animal Model;Animals;Antineoplastic Agents;Blood;Blood - brain barrier anatomy;Body Weight;Brain;Brain Neoplasms;Ceramics;Clinical;Clinical Treatment;Consumption;Devices;Diffusion;Disease;Drug Delivery Systems;Elements;Endothelial Cells;Excision;Family suidae;Film;Generations;Glycine;Histologic;Hour;Human;Implant;In Vitro;Lead;Lipids;Location;Magnetic Resonance Imaging;Malignant neoplasm of brain;Methods;Monitor;Mus;Neurodegenerative Disorders;Paclitaxel;Penetration;Performance;Pharmaceutical Preparations;Pharmacotherapy;Polymers;Process;Property;Reporting;Research;Safety;Solvents;Sonication;Stainless Steel;Testing;Therapeutic;Thick;Thinness;Tight Junctions;Time;Trace metal;Transducers;Treatment Efficacy;Ultrasonic Therapy;Ultrasonic Transducer;absorption;blood-brain barrier disruption;bone;brain surgery;brain tissue;cerebral microvasculature;cranium;design;fabrication;flexibility;immunoreaction;implant material;implantation;in vivo;lead titanate zirconate;manufacture;mouse model;nanocomposite;nanofiber;nanopolymer;neural implant;novel;polycaprolactone;pre-clinical;pressure;prevent;safety assessment;success;systemic toxicity;timeline;tumor;tumor growth;ultrasound;ultrasound energy;voltage","Novel Piezoelectric Amino-acid Ultrasound Transducer to Deliver Drugs Through the Blood Brain Barrier","NarrativeNeurodegenerative diseases and brain cancers are difficult to treat due to the presence of blood brain barrier(BBB) which prevents most of therapeutic drugs from penetrating the tight junctions of endothelial cells in thebrain microvasculature and accessing the brain tissues. Ultrasound (US) has been shown to be the most effectiveand safe method to induce the BBB opening facilitating the drug delivery into the brain tissue. Here we proposea novel biodegradable US transducer based on biodegradable flexible and highly piezoelectric nanofiber film ofglycine crystals embedded inside a polycaprolactone (PCL) polymeric matrix to facilitate drug delivery throughthe BBB for the treatment of brain cancers","NINDS","11019853","4/15/2025","PA-20-185","5R01NS131310-03","5","R01","NS","131310","03","","KUMSA, DOE WONDWOSSEN","2/15/2023","1/31/2028","Instrumentation and Systems Development Study Section[ISD]"," ","12060134","NGUYEN, THANH ","Not Applicable","02","ENGINEERING (ALL TYPES)","614209054","WNTPS995QBM7","614209054","WNTPS995QBM7","US","41.811419","-72.247553","1506602","UNIVERSITY OF CONNECTICUT STORRS","STORRS-MANSFIELD","CT","BIOMED ENGR/COL ENGR/ENGR STA","062691133","UNITED STATES","N","2/1/2025","1/31/2026"," ","93.853","Non-SBIR/STTR","2025","482816"," ","NINDS","386722","96094"," ","482816",
"Bioengineering; Biotechnology; Cancer; Natural Products; Orphan Drug; Prevention; Rare Diseases","Abdomen;Address;Adjuvant;Adjuvant Therapy;Anatomy;Animal Model;Animals;Antineoplastic Agents;Beds;Binding;Biodistribution;Biomedical Engineering;Carbon Dioxide;Carbonates;Cell Cycle Kinetics;Cell Death;Clinical;Collaborations;Colon Carcinoma;Data;Death Rate;Development;Disease;Distant;Dose;Drug Delivery Systems;Drug Kinetics;Excision;Experimental Designs;Failure;Film;Glycerol;Histologic;Hour;Hydrolysis;Hyperthermia;Implant;In Vitro;Incidence;Invaded;Kidney;Kinetics;Microscopic;Modeling;Mus;Non-Small-Cell Lung Carcinoma;Operative Surgical Procedures;Organ Preservation;Paclitaxel;Pathology;Patient imaging;Patient-Focused Outcomes;Patients;Pattern;Pelvis;Perioperative;Pharmaceutical Preparations;Phase;Polymers;Prevention;Radiation therapy;Recurrence;Recurrent tumor;Reporting;Resected;Residual state;Retroperitoneal Sarcoma;Retroperitoneal Space;Risk;Sarcoma;Site;Soft tissue sarcoma;Solubility;Structure;Succinic Acids;Surface;Surgical Models;Surgical margins;Surgical sutures;Survival Rate;Testing;Therapeutic;Time;Tissues;Tumor Burden;Tumor Debulking;Visceral;X-Ray Computed Tomography;aqueous;biomaterial compatibility;biomedical referral center;caprolactone;chemotherapy;cytotoxicity;efficacy evaluation;esterase;experience;experimental study;flexibility;healing;implantation;improved;in vivo;innovation;intraperitoneal therapy;intravenous administration;mortality;mouse model;novel strategies;patient derived xenograft model;perioperative morbidity;pre-clinical;prevent;safety assessment;side effect;standard of care;systemic toxicity;tumor","Supratherapeutic PTX Buttresses Reduce Locoregional Recurrence Rates Following Surgery for Soft Tissue Sarcomas","NarrativeThis proposal evaluates new supratherapeutic paclitaxel-loaded buttresses for tumor bed implantation to reducelocoregional recurrence rates after resection of retroperitoneal non-GIST abdominal and pelvic sarcomas. Thecurrent standard of care is multivisceral resection and adjuvant therapies including radiotherapy single-dosehyperthermic intraperitoneal chemotherapy and systemic chemotherapy fail to improve patient outcomes.This proposed approach has the potential to reduce tumor recurrence and extend survival via local applicationof high-dose adjuvant chemotherapeutics at the time of resection.","NCI","10914027","7/12/2024","PA-20-185","5R01CA272637-03","5","R01","CA","272637","03","","FU, YALI ","8/1/2022","7/31/2027","Bioengineering, Technology and Surgical Sciences Study Section[BTSS]"," ","10389764","RAUT, CHANDRAJIT PREMANAND","COLSON, YOLONDA L;GRINSTAFF, MARK W.","07","Unavailable","030811269","QN6MS4VN7BD1","030811269","QN6MS4VN7BD1","US","42.336107","-71.107481","1080401","BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA","Independent Hospitals","021156110","UNITED STATES","N","8/1/2024","7/31/2025"," ","93.395","Non-SBIR/STTR","2024","676443"," ","NCI","551987","124456"," ","676443",
"Bioengineering; Nanotechnology; Neurosciences; Pain Research; Physical Injury - Accidents and Adverse Effects; Regenerative Medicine","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","10882542","8/21/2023","PA-20-185","3R01AR077761-03S1","3","R01","AR","077761","03","S1","MARQUITZ, ARON ","9/21/2021","7/31/2024","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","02","Unavailable","966298262","WGXZN68GYDD5","966298262","WGXZN68GYDD5","US","39.642877","-106.380847","10053844","STEADMAN PHILIPPON RESEARCH INSTITUTE","VAIL","CO","Other Domestic Non-Profits","816575242","UNITED STATES","N","8/1/2023","7/31/2024"," ","93.846","Non-SBIR/STTR","2023","47393"," ","NIAMS","31420","15973"," ","47393",
"Bioengineering; Biotechnology; Clinical Research; Lung; Nanotechnology","Actins;Adopted;Affect;Air;Antibodies;Apical;Architecture;Biological Assay;CD47 gene;Cell Adhesion Molecules;Cell Differentiation process;Cell Physiology;Cell model;Cells;Characteristics;Chronic;Chronic Disease;Clinical;Collaborations;Complex;Crosslinker;Cultured Cells;Cytoplasm;Cytoskeleton;Data;Drug Controls;Drug Delivery Systems;Engineering;Epithelial Cells;Epithelium;F-Actin;Goals;Growth;Human;Impairment;In Vitro;Inflammation;Inflammatory;Integrins;Knowledge;Label;Laboratories;Ligand Binding;Liquid substance;Lung;Lung Diseases;Measurement;Measures;Mechanics;Membrane;Methods;Molecular;Molecular Conformation;Morphology;Nanostructures;Nanotopography;Nasal Epithelium;Nasal Polyps;Nasal cavity;Nose;Organoids;Otolaryngology;Patients;Permeability;Phenotype;Physiological;Polyps;Proteins;Proteome;Quality of life;Regulation;Resistance;Role;Scaffolding Protein;Series;Specificity;Structure;Structure of mucous membrane of nose;Surface;Talin;Testing;Tight Junctions;Tissue Banks;Topical application;Work;airway epithelium;cell growth;chronic rhinosinusitis;cohort;cytokine;density;design;design and construction;electric impedance;flexibility;fluorescence lifetime imaging;improved;live cell microscopy;macromolecule;manufacture;nanoscale;nanowire;novel;novel therapeutics;particle;pharmacologic;polycaprolactone;polyposis;pulmonary function;scaffold;sensor;subcutaneous;success;superresolution microscopy;transcytosis","Regulation of epithelial function using targeted nanowires","PROJECT NARRATIVEIn this project multifunctional biodegradable nanowires are being designed manufactured andtested for their ability to interact with lung and nasal epithelial cells. Complexes that target anapically expressed cell adhesion molecule 1 integrin are being screened to identify nanowiresthat physiologically regulate airway epithelial function. One goal of this study is to evaluate 1integrin as a target for the ability to improve the barrier function of the lung epithelium and as anovel therapeutic for chronic rhinosinusitis with nasal polyposis a chronic disease with criticallyfew treatment options.","NHLBI","10875600","6/5/2024","PA-20-185","5R01HL158979-03","5","R01","HL","158979","03","","SHENOY, SIDDHARTH KAUP","8/5/2022","5/31/2026","Biomaterials and Biointerfaces Study Section[BMBI]"," ","1929629","KOVAL, MICHAEL H.","DESAI, TEJAL A.","05","INTERNAL MEDICINE/MEDICINE","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.791247","-84.3249","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","303221007","UNITED STATES","N","6/1/2024","5/31/2025"," ","93.838","Non-SBIR/STTR","2024","600252"," ","NHLBI","474583","125669"," ","600252",
