----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: 2015,  2016,  2017,  2018,  2019,  2020,  2021,  2022,  2023,  2024,  2025"
"     Activity Code: R21,  R01,  R43,  R44"
"     Limit to: Project Title,  Project Terms,  Project Abstracts"
"     Text Search: ("PEG" and ("drug delivery" or "controlled release" or "sustained release"; or "targeted delivery" or "drug carrier" or "therapeutic delivery" or "nanoparticle delivery")) (advanced)"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","Post Award Action Type","Assistance Listing Number","Funding Mechanism","Fiscal Year","Total Cost","Total Cost(Sub Projects)","Funding IC(s)","Direct Cost IC","Indirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","ATAC-seq;Accounting;Alveolar;Alveolar capillary dysplasia with misalignment of pulmonary veins;Animal Model;Arteries;Birth;Blood capillaries;Bronchopulmonary Dysplasia;CRISPR/Cas technology;Cancer Patient;Capillary Endothelial Cell;Cell Differentiation process;Chemicals;Code;Congenital Disorders;Congenital alveolar dysplasia;Congenital diaphragmatic hernia;Data;Data Set;Development;Disease;Encapsulated;Endothelial Cells;Enhancers;Exons;FOXF1 gene;Fetal Lung;Fibroblasts;Funding;Genes;Genetic;Genetic Models;Heterozygote;Human;Human Genetics;Hyperoxia;Impairment;In Vitro;Indole-3-Carbinol;Infant;Knock-in;Laboratories;Loss of Heterozygosity;Lung;Mediating;Modeling;Molecular;Mouse Embryonic Stem Cells;Mus;Mutation;Neonatal;Neonatal Hyperoxic Injury;Neonatal lung;Newborn Infant;Pathogenesis;Patients;Plants;Point Mutation;Preclinical Testing;Prognosis;Proteins;Pulmonary Hypertension;Reporter;Resistance;Respiratory Failure;Respiratory physiology;Role;Structure of parenchyma of lung;Testing;Therapeutic;Ubiquitination;Untranslated RNA;Upregulation;Venous;angiogenesis;cancer clinical trial;embryonic stem cell;genetic information;genome editing;high throughput screening;human disease;improved;in vivo;inhibitor;injured;innovation;loss of function mutation;mouse genetics;mouse model;nanoparticle;nanoparticle delivery;neonatal mice;neonatal pulmonary hypertension;novel;novel therapeutic intervention;novel therapeutics;pharmacologic;prevent;protein degradation;protein protein interaction;repaired;respiratory;single-cell RNA sequencing;small molecule;therapeutic evaluation;transcription factor;ubiquitin-protein ligase","Development of novel therapeutic approaches for treatment of Alveolar Capillary Dysplasia","PROJECT NARRATIVEWe will use mouse genetic models of Alveolar Capillary Dysplasia with Misalignment of Pulmonary Veins(ACDMPV) to test the therapeutic potential of nanoparticle-based delivery of FOXF1-stabilizing small moleculecompounds into lung capillary endothelial cells (ECs). We will also determine whether the FEL1 enhancer in theFOXF1 gene is required for differentiation of lung ECs and if its loss causes ACDMPV.","NHLBI","11220915","8/20/2025","PA-20-185","2R01HL152973-06","2","R01","HL","152973","06","","LIN, SARA ","5/1/2021","5/31/2029","Pulmonary Vascular Disease and Physiology Study Section [PVP]"," ","7723906","KALINICHENKO, VLADIMIR ","Not Applicable","07","PEDIATRICS","806345617","ED44Y3W6P7B9","806345617","ED44Y3W6P7B9","US","32.232844","-110.959467","490201","UNIVERSITY OF ARIZONA","TUCSON","AZ","SCHOOLS OF MEDICINE","857210158","UNITED STATES","N","8/21/2025","5/31/2026"," ","93.838","Non-SBIR/STTR","2025","741650"," ","NHLBI","478355","263295"," ","741650",
"No NIH Category available","Acute;Age;Agonist;Animal Model;Area;Basic Science;Blindness;Blood Vessels;Blood-Retinal Barrier;Chronic;Clinic;Clinical;Clinical Treatment;Clinical Trials;Data;Development;Diabetic Retinopathy;Diameter;Disparity population;Doctor of Philosophy;Dose;Drug Delivery Systems;Drug Kinetics;Dyslipidemias;Emulsions;Endophthalmitis;Engineering;Ensure;Exhibits;Extravasation;Eye;Fenofibrate;Fibrates;Formulation;Functional disorder;Funding;Future;Genes;Glass;Goals;Grant;Half-Life;Human;In Vitro;Industry;Inflammation;Injections;Insulin-Dependent Diabetes Mellitus;Intercellular adhesion molecule 1;Interleukin-6;Ischemia;Kidney;Kidney Failure;Knowledge;Lead;Learning;Leukostasis;Lipids;Liver;Manuscripts;Maximum Tolerated Dose;Membrane;Mentors;Mentorship;Methods;Mitochondria;Modeling;Monitor;Morphology;Muscle;National Eye Institute;Non-Insulin-Dependent Diabetes Mellitus;Oral;PPAR alpha;Parents;Particle Size;Pathway interactions;Patient Compliance;Patients;Penetration;Pharmaceutical Preparations;Pharmacodynamics;Pharmacologic Substance;Phase;Population;Porosity;Postdoctoral Fellow;Publications;Publishing;Rattus;Regulation;Reporting;Reproducibility;Research Personnel;Retina;Retinal Neovascularization;Risk;Route;Scientist;Streptozocin;Surface;System;Techniques;Testing;Therapeutic Effect;Toxic effect;Training;Treatment Efficacy;Type 2 diabetic;United States National Institutes of Health;Vision research;Work;absorption;angiogenesis;career development;cost;db/db mouse;diabetic;diabetic patient;diabetic rat;disadvantaged background;doctoral student;drug distribution;drug release kinetics;drug release profile;efficacy study;experience;in vivo;interest;intravitreal injection;lipid metabolism;macular edema;manufacture;member;meter;novel therapeutics;oxidation;particle;primary endpoint;programs;randomized placebo-controlled clinical trial;research study;retinal toxicity;safety study;therapeutic evaluation;therapy outcome;translational potential;underrepresented minority student","Sustained release of fenofibrate for the treatment of diabetic retinopathy","PROJECT NARRATIVEThis training supplement will provide Julio Ocana-Ortiz BS a PhD student deriving froma disadvantaged background an opportunity to learn cutting edge technique that will aid hisdevelopment as an independent NEI-funded researcher. Diabetic retinopathy (DR) is the mostcommon cause of severe vision loss in the working-age population in the world and fenofibratea PPAR agonist has shown the therapeutic effects on DR. Here this supplement adds to theparent R01 by developing and characterizing uniform-sized fenofibrate-loaded microparticle(Feno-MP) formulation to provide sustained delivery of fenofibrate to effectively and safely treatDR with 2 or less intravitreal injections/year significantly reducing the treatment burden ofdiabetic patients.","NEI","11200040","1/23/2025","PA-23-189","3R01EY033477-03S1","3","R01","EY","033477","03","S1","NEUHOLD, LISA ","9/1/2022","4/30/2025"," "," ","10998053","XU, QINGGUO ","MA, JIAN-XING ","04","PHARMACOLOGY","105300446","MLQFL4JSSAA9","105300446","MLQFL4JSSAA9","US","37.549807","-77.452775","353201","VIRGINIA COMMONWEALTH UNIVERSITY","RICHMOND","VA","SCHOOLS OF PHARMACY","232980568","UNITED STATES","N","2/1/2025","4/30/2025","Terminated - Departmental Authority","93.867","Non-SBIR/STTR","2025","23288"," ","NEI","15000","8288"," ","23288",
"No NIH Category available","Acceleration;Adsorption;Affinity;Allergic Reaction;Amines;Antibodies;Antibody Affinity;Antigens;Attention;Attenuated;Azides;B-Cell Antigen Receptor;B-Lymphocytes;Behavior;Binding;Binding Proteins;Biological;Biological Products;Blood;Blood Circulation;CD4 Positive T Lymphocytes;COVID-19;Carboxylic Acids;Cells;Characteristics;Charge;Chemical Structure;Chemistry;Circulation;Cosmetics;Data;Diffusion;Dose;Drug Kinetics;Entropy;Ethers;Excision;Extracellular Matrix;Foreign Bodies;Generations;Health Care;High Prevalence;Hyaluronidase;Hydration status;Immune response;Immunotherapeutic agent;In Vitro;Investigation;Kinetics;Length;Life;Measures;Mediating;Medical Device;Modeling;Molecular Conformation;Mucous body substance;Mus;Mutate;Nucleotides;Ovalbumin;Peptides;Pharmaceutical Preparations;Physics;Plasma Proteins;Polyethylene Glycols;Polymers;Population;Process;Property;Proteins;Publications;RNA vaccine;Radial;Renal clearance function;Reporting;Research;Research Personnel;T-Lymphocyte;Therapeutic;Thermodynamics;Treatment Efficacy;Urate Oxidase;Vaccination;Vertebral column;Water;biomacromolecule;density;design;experimental study;flexibility;hydrophilicity;immune clearance;immunogenic;immunogenicity;improved;in vivo;nanomedicine;nanoparticle;novel;prevent;rational design;response;side effect;therapeutic protein","Zwitterionic polyethylene glycol for therapeutic delivery","Project Narrative Biologic drugs and nanomedicines with conjugated polyethylene glycol (PEG) show improvedpharmacokinetics. However the application of PEGylated therapeutics is limited by the presence of anti-PEGantibodies which not only accelerate the clearance of PEGylated therapeutics and attenuate their efficacies butmay also cause severe side effects. We propose to develop zwitterionic PEG as a replacement of PEG intherapeutic delivery for minimized side effects and consistent efficacy.","NIGMS","11184344","6/17/2025","PA-20-185","5R01GM155729-02","5","R01","GM","155729","02","","KODURI, SAILAJA ","9/5/2024","6/30/2026","Innovations in Nanosystems and Nanotechnology Study Section [INN]"," ","11611080","CHENG, HAO ","Not Applicable","03","ENGINEERING (ALL TYPES)","002604817","XF3XM9642N96","002604817","XF3XM9642N96","US","39.954073","-75.186541","2205901","DREXEL UNIVERSITY","PHILADELPHIA","PA","BIOMED ENGR/COL ENGR/ENGR STA","191043443","UNITED STATES","N","7/1/2025","6/30/2026"," ","93.859","Non-SBIR/STTR","2025","318457"," ","NIGMS","215000","103457"," ","318457",
"No NIH Category available","3-Dimensional;Address;Advanced Development;Alginates;Amines;Apoptotic;Biomedical Engineering;Blood Vessels;Body System;Cell Survival;Cell Transplantation;Doctor of Philosophy;Drug Delivery Systems;Encapsulated;Endothelial Cells;Engineered skin;Engineering;Esters;Exhibits;Growth;Growth Factor;Human;Hydrogels;Kinetics;Ligands;Messenger RNA;Modeling;Nucleic Acids;Organ;Perfusion;Polyethylene Glycols;Polymers;Property;Proteins;Regenerative Medicine;Skin;System;Testing;Therapeutic;Time;Tissue Engineering;Transfection;Vascular Endothelial Growth Factors;Vascular System;Vascularization;Viral Vector;Work;biodegradable polymer;biomaterial compatibility;bioprinting;chemical stability;controlled release;crosslink;extracellular;improved;innovation;mRNA Expression;nanoparticle;novel therapeutics;parent grant;particle;revascularization;tissue regeneration","Optimizing Therapeutic Revascularization by  Endothelial Cell_Transplantation","PROJECT NARRATIVEAs in the parent grant the supplement address a problem that is common to tissue engineering of allvascularized replacement organs namely how to incorporate a functional microvascular system for organperfusion. We will introduce two new innovations in this supplement: (1) we will use a new versatile degradablepolymer material for delivery of growth factors particularly VEGF in a time and spatially controlled fashionwithin our 3D bioprinted skin; and (2) we will use an innovative strategy for controlled slow extracellularrelease of mRNA polyplexes which will allow us to provide weeks long expression of mRNA creatingprolonged Bcl2 expression (which we have previously show to dramatically enhance vascular maturation)providing safer more transient expression than is possible with viral vectors.","NHLBI","11137351","1/18/2025","PA-23-189","3R01HL169238-01A1S1","3","R01","HL","169238","01","A1S1","LUNDBERG, MARTHA ","12/1/2024","3/31/2025"," "," ","1930382","POBER, JORDAN S","SALTZMAN, W. MARK","03","MICROBIOLOGY/IMMUN/VIROLOGY","043207562","FL6GV84CKN57","043207562","FL6GV84CKN57","US","41.310925","-72.926428","9420201","YALE UNIVERSITY","NEW HAVEN","CT","SCHOOLS OF MEDICINE","065208327","UNITED STATES","N","1/20/2025","3/31/2025"," ","93.837","Non-SBIR/STTR","2025","36814"," ","NHLBI","24744","12070"," ","36814",
"No NIH Category available","Acute;Acute Respiratory Distress Syndrome;Adult;Alleles;Alveolar;Automobile Driving;Binding;Blood capillaries;Bronchopulmonary Dysplasia;Capillary Endothelial Cell;Cell Cycle;Cell Proliferation;Cell surface;Cells;Chronic Obstructive Pulmonary Disease;Chronic lung disease;Complex;Complication;DNA;DNA delivery;Data;Development;Disease;Drug Delivery Systems;Endocytosis;Endosomes;Endothelial Cells;Endothelium;Environment;Exposure to;FOXM1 gene;Formulation;Functional disorder;Future;G2/M Transition;Gases;Glycocalyx;Growth;Human;Hybrids;Impairment;Infant;Injections;Injury;Intravenous;Knockout Mice;Laboratories;LoxP-flanked allele;Lung;Lung Diseases;Lysosomes;MAPK Signaling Pathway Pathway;Modeling;Molecular;Morbidity - disease rate;Mus;Natural regeneration;Neonatal;Neonatal Hyperoxic Injury;Newborn Infant;Nucleic Acids;Organ;Oxygen;Patients;Pharmaceutical Preparations;Predisposition;Pregnancy;Premature Birth;Premature Infant;Process;Proteins;Pulmonary Hypertension;Rattus;Resolution;Respiratory physiology;Right Ventricular Hypertrophy;Route;Sorting;Structure of parenchyma of lung;System;Testing;Therapeutic;Transgenic Organisms;Vascular remodeling;Visualization;angiogenesis;cell regeneration;cell type;conditional knockout;design;driving force;efficacy testing;endothelial regeneration;experimental study;expression vector;gene product;improved;in vivo;in vivo imaging;innovation;later life;lung injury;lung microvascular endothelial cells;lung regeneration;mortality;mouse model;nanocarrier;nanocomplexes;nanomedicine;nanoparticle;nanoparticle delivery;neonatal injury;neonatal lung injury;neonatal pulmonary hypertension;novel;overexpression;plasmid DNA;preclinical study;premature;premature lungs;pressure;prevent;pulmonary;pulmonary function;screening;supplemental oxygen;therapeutic evaluation;therapeutic nanoparticles;transcription factor;translational potential;uptake;vector;ventilation","Selective Targeting of Alveolar Capillaries in Neonatal Lung Injury","PROJECT NARRATIVEWe will identify molecular mechanisms whereby the P22-F1 PBAE/PEI/PEG nanoparticles specifically recognizelung capillary endothelial cells without targeting other organs in the body. We will also test the therapeuticpotential of P22-F1 PBAE/PEI/PEG nanoparticles complexed with the FOXM1 minicircle DNA plasmid in mouseand rat models of Bronchopulmonary Dysplasia associated with pulmonary hypertension (BPD-PH).","NHLBI","11132412","8/17/2025","PA-20-185","1R01HL179683-01","1","R01","HL","179683","01","","SOOD, BEENA G","9/1/2025","5/31/2029","Pulmonary Vascular Disease and Physiology Study Section [PVP]"," ","7723906","KALINICHENKO, VLADIMIR ","Not Applicable","07","PEDIATRICS","806345617","ED44Y3W6P7B9","806345617","ED44Y3W6P7B9","US","32.232844","-110.959467","490201","UNIVERSITY OF ARIZONA","TUCSON","AZ","SCHOOLS OF MEDICINE","857210158","UNITED STATES","N","9/1/2025","5/31/2026"," ","93.838","Non-SBIR/STTR","2025","730070"," ","NHLBI","471013","259057"," ","730070",
"No NIH Category available","Address;Animal Model;Biodistribution;Biological Markers;CT26;Cancer Model;Cancer Patient;Cell Line;Clinical;Companions;Coupling;DNA Damage;DU145;Data;Detection;Development;Disease;Drug Combinations;Drug Delivery Systems;Effectiveness;Extravasation;FDA approved;Future;Goals;High Pressure Liquid Chromatography;Human;Image;Imaging Device;Institutional Review Boards;Investigational Drugs;LAPC4;Malignant Neoplasms;Malignant neoplasm of prostate;Measurement;Measures;Mediating;Metastatic Prostate Cancer;Methods;Modeling;Mutation;Neoplasm Metastasis;Normal tissue morphology;Outcome;PC3 cell line;Parents;Patient Care;Patient Selection;Patients;Permeability;Pharmaceutical Preparations;Phenotype;Physicians;Pilot Projects;Play;Poly(ADP-ribose) Polymerase Inhibitor;Polymers;Porosity;Positron-Emission Tomography;Pre-Clinical Model;Preclinical data;Prostate Adenocarcinoma;Prostate Cancer therapy;Prostatic Neoplasms;Radiation;Radioactivity;Radioisotopes;Radiolabeled;Role;Safety;Site;Solid Neoplasm;Testing;Therapeutic;Toxic effect;Tracer;Transgenic Organisms;Translations;Vertebral column;Visualization;Zirconium;androgen independent prostate cancer;arm;clinical translation;cohort;companion animal;companion diagnostics;efficacy testing;experience;experimental study;feasibility testing;image-guided drug delivery;imaging agent;imaging scientist;improved;inclusion criteria;lymphatic drainage;men;molecular imaging;mutant;nanomaterials;nanomedicine;nanoparticle;novel;novel therapeutics;particle;patient derived xenograft model;pre-clinical;prostate cancer model;response;testing uptake;translational study;treatment response;tumor;uptake","Molecular imaging of novel PARP inhibitor nanomedicine delivery","NARRATIVENanomedicines are playing an increasing role in delivery of cancer therapeutics however variability intreatment response significantly limits their effectiveness and clinical translation. To address thisshortcoming a nanoparticle-based molecular imaging agent will be developed as a companion diagnosticto visualize the delivery of a new therapeutic nanomedicine for prostate cancer. This agent may be usedin the future in men with prostate cancer to select those patients that may benefit from the newnanomedicine.","NCI","11125965","7/8/2025","PA-20-185","5R01CA266666-04","5","R01","CA","266666","04","","TANDON, PUSHPA ","8/12/2022","7/31/2026","Imaging Probes and Contrast Agents Study Section[IPCA]"," ","1944862","VANBROCKLIN, HENRY F.","AGGARWAL, RAHUL ;FLAVELL, ROBERT RICHARD","11","RADIATION-DIAGNOSTIC/ONCOLOGY","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.394","Non-SBIR/STTR","2025","621383"," ","NCI","384757","236626"," ","621383",
"No NIH Category available","3D Print;Affect;Animal Model;Animals;Anions;Bicarbonates;Binding;Biological;Biology;Blood;Cause of Death;Chronic;Clinical;Complementary DNA;Coupling;Cystic Fibrosis;Cystic Fibrosis Transmembrane Conductance Regulator;Defect;Dependovirus;Diffusion;Engineering;Epithelial Cells;Family suidae;Four-dimensional;Gene Delivery;Gene Mutation;Genes;Genetic Diseases;Goals;Goblet Cells;Host Defense;Host Defense Mechanism;Human;Hydrogels;Hydrolysis;Image;Immune;In Vitro;Inhalation;Injections;Interleukin-1 beta;Liquid substance;Lung;Lung Diseases;Lung infections;Lymphocyte;Magnetic Particle Imaging;Magnetic nanoparticles;Magnetism;Mediating;Medicine;Membrane;Metaplasia;Methods;Morbidity - disease rate;Mucous body substance;Mus;Mutation;Obstruction;Organ;Pancreas;Pathogenesis;Patients;Penetration;Pore Proteins;Positioning Attribute;Pre-Clinical Model;Printing;Property;Pulmonary Cystic Fibrosis;Research;Respiratory Tract Infections;Robot;Rotation;Satellite Viruses;Serotyping;Structure of parenchyma of lung;System;Techniques;Testing;The Jackson Laboratory;Therapeutic;Tissues;Transfection;Translating;Treatment Efficacy;Tropism;Viral Vector;Viscosity;Work;active method;airway epithelium;airway inflammation;airway obstruction;airway surface liquid;cystic fibrosis airway;cystic fibrosis airway epithelia;cystic fibrosis mouse;cystic fibrosis mucus;cystic fibrosis patients;gene therapy;image guided;improved;in vivo;in vivo imaging;injured airway;innovation;magnetic field;microrobot;mortality;mouse model;nanorobotics;nanoscale;novel;novel therapeutic intervention;poly(ethylene glycol)diacrylate;prevent;quantum;restoration;robot assistance;targeted delivery;transduction efficiency;two-photon;vector;viscoelasticity","Magnetic Microrobots Assist AAV4 for CFTR Gene Delivery Through Mucus Barrier","Project Narrative Cystic fibrosis (CF) is a prevalent genetic disorder caused by defects in the CFTRmembrane pore protein with lung disease as the leading cause of death among CFpatients. This proposal aims to overcome the mucus barrier for correcting the CFTRdefect by using microrobots for mucus-penetrating and AAV4-mediated CFTR genedelivery. This innovative therapeutic strategy has the potential to significantly alter thetreatment landscape for CF providing significant clinical advantages for patients.","NIBIB","11119342","5/7/2025","PAR-24-022","1R21EB037346-01","1","R21","EB","037346","01","","BITTMANN, MORIA FISHER","5/10/2025","3/31/2028","Special Emphasis Panel[ZRG1 BBBT-X (81)]"," ","78141406","LI, JINXING ","Not Applicable","07","ENGINEERING (ALL TYPES)","193247145","R28EKN92ZTZ9","193247145","R28EKN92ZTZ9","US","42.653979","-84.492032","5245901","MICHIGAN STATE UNIVERSITY","EAST LANSING","MI","BIOMED ENGR/COL ENGR/ENGR STA","488242600","UNITED STATES","N","5/10/2025","3/31/2026"," ","93.286","Non-SBIR/STTR","2025","235500"," ","NIBIB","150000","85500"," ","235500",
"No NIH Category available","Address;Alkenes;Alkynes;Azides;Behavior;Biochemical;Biocompatible Materials;Biodistribution;Biological Assay;Blood Circulation;Blood Circulation Time;Cells;Chemistry;Circulation;Clinical;Clinical Treatment;Combined Modality Therapy;Comparative Study;Development;Disease;Drug Delivery Systems;Drug Kinetics;Dyes;Encapsulated;Environment;Esters;Evaluation;Exhibits;FDA approved;Foundations;Goals;Guidelines;Hydrophobicity;Image;Immune response;Immunocompetent;In Vitro;Libraries;Ligands;Link;Malignant neoplasm of pancreas;Measurement;Methodology;Methods;Modeling;Mus;Outcome;Paclitaxel;Peptides;Periodicity;Pharmaceutical Preparations;Polyesters;Polyethylene Glycols;Polymers;Property;Publishing;Research;Research Activity;Series;Solid;Structure;System;Technology;Testing;Therapeutic;Therapeutic Effect;Time;Toxic effect;Treatment Efficacy;Vertebral column;Work;Xenograft procedure;beta-Hydroxybutyrate;biological systems;biomaterial compatibility;cancer therapy;cell type;clinical application;clinical efficacy;cyanine;cytotoxicity;design;designbuildtest;gemcitabine;global health;hydrophilicity;imaging agent;immunogenicity;in vivo;insight;mouse model;multidisciplinary;nanotherapeutic;novel;pancreatic cancer patients;plectin;poly(lactide);polymerization;prototype;scaffold;side effect;targeted agent;technology platform;therapeutic evaluation;uptake","Multifunctional Biodegradable Zwitterionic Polymer-Drug Conjugates for Multidrug Co-Delivery","Project NarrativeThe applicability of polymer-based drug delivery systems (DDSs) has been significantly restricted by criticaltechnological challenges such as the undesired immunogenicity of polyethylene glycol (PEG) broadly used inDDSs the lack of PEG alternatives with optimal comprehensive properties the scarcity of clinically valid DDSsfor combination therapy and the deficient understanding on topological effects of polymer scaffolds. To addressthese challenges we aim to develop multifunctional biodegradable zwitterionic polymer-drug conjugates(ZPDCs) as novel PEG-free multidrug co-delivery systems with favorable biomedically relevant properties. Alibrary of ZPDCs with different main-chain topology and other structural features will be prepared and theirstructure-dependent biointerface properties will be systematically investigated through biochemical cellular andin vivo studies.","NIBIB","11084287","3/25/2025","PA-20-185","5R01EB034306-03","5","R01","EB","034306","03","","SUKHAREVA, MANANA ","4/1/2023","3/31/2027","Biomaterials and Biointerfaces Study Section[BMBI]"," ","10443821","CHENG, CHONG ","Not Applicable","26","ENGINEERING (ALL TYPES)","038633251","LMCJKRFW5R81","038633251","LMCJKRFW5R81","US","43.003074","-78.785924","5992614","STATE UNIVERSITY OF NEW YORK AT BUFFALO","AMHERST","NY","BIOMED ENGR/COL ENGR/ENGR STA","142282567","UNITED STATES","N","4/1/2025","3/31/2026"," ","93.286","Non-SBIR/STTR","2025","546824"," ","NIBIB","402699","144125"," ","546824",
"No NIH Category available","Acute;Address;Age;Agonist;Animal Model;Animals;Blindness;Blood Vessels;Bolus Infusion;Chronic;Chronic Disease;Clinical;Clinical Research;Clinical Treatment;Clinical Trials;Data;Development;Diabetic Retinopathy;Dose;Drug Delivery Systems;Drug Kinetics;Drug Targeting;Dyslipidemias;Endophthalmitis;Extravasation;Eye;Fenofibrate;Formulation;Future;Genes;Half-Life;Health Care Systems;Human;In Vitro;Inflammation;Injections;Insulin-Dependent Diabetes Mellitus;Intercellular adhesion molecule 1;Interleukin-6;Ischemia;Kidney Failure;Knock-out;Lead;Leukostasis;Lipids;Maximum Tolerated Dose;Medical;Methods;Mitochondria;Modeling;Monitor;Morphology;Non-Insulin-Dependent Diabetes Mellitus;Oral;Oral Administration;Oryctolagus cuniculus;PPAR alpha;Particle Size;Pathway interactions;Patient Care;Patient Compliance;Patients;Pharmaceutical Preparations;Pharmacotherapy;Population;Prevention;Rattus;Regulation;Reporting;Reproducibility;Retina;Retinal Neovascularization;Risk;Safety;Streptozocin;Testing;Therapeutic Effect;Toxic effect;Treatment Efficacy;Type 2 diabetic;Vascular Endothelial Growth Factors;Virulence Factors;Vision;absorption;angiogenesis;clinical practice;clinical translation;cost;db/db mouse;diabetic;diabetic patient;diabetic rat;drug standard;efficacy testing;improved;in vivo;inhibitor;interest;intravitreal injection;lipid metabolism;macular edema;meter;nanoparticle;neovascularization;new therapeutic target;novel therapeutics;oxidation;particle;preclinical development;proliferative diabetic retinopathy;randomized placebo-controlled clinical trial;retinal toxicity;safety study;side effect","Sustained release of fenofibrate for the treatment of diabetic retinopathy","PROJECT NARRATIVE Diabetic retinopathy (DR) is the most common cause of severe vision loss in theworking-age population in the world and the standard drug treatment is the intravitreal (IVT)injection of anti-VEGF agents that must be frequently administered and are not adequatelyresponded by 40% DR patients. Oral administration of fenofibrate a PPAR agonist has shownrobust therapeutic effects on DR in type 2 diabetic patients; however oral fenofibrate has poorretinal absorption and IVT injection of fenofibrate is short-lived requiring frequent IVT injections.Here we propose a new method to provide sustained delivery of fenofibrate to effectively andsafely treat DR with 2 or less IVT injections/year significantly reducing the treatment burden ofdiabetic patients.","NEI","11080251","7/10/2025","PA-20-185","5R01EY033477-04","5","R01","EY","033477","04","","NEUHOLD, LISA ","9/1/2022","4/30/2027","Pathophysiology of Eye Disease - 2 Study Section[PED2]"," ","10998053","XU, QINGGUO ","MA, JIAN-XING ","04","PHARMACOLOGY","105300446","MLQFL4JSSAA9","105300446","MLQFL4JSSAA9","US","37.549807","-77.452775","353201","VIRGINIA COMMONWEALTH UNIVERSITY","RICHMOND","VA","SCHOOLS OF PHARMACY","232980568","UNITED STATES","N","5/1/2025","4/30/2026"," ","93.867","Non-SBIR/STTR","2025","538028"," ","NEI","445846","92182"," ","538028",
"No NIH Category available","Abraxane;Acute;Albumins;Antineoplastic Agents;Blood Vessels;Breast Cancer Model;Characteristics;Clinical Trials;Collagen;Development;Disease;Doxorubicin;Drug Delivery Systems;Drug Kinetics;Excision;FDA approved;Fibrinogen;Formulation;Genetically Engineered Mouse;Grant;Interdisciplinary Study;Liposomes;Macrophage;Malignant Breast Neoplasm;Malignant Neoplasms;Malignant neoplasm of pancreas;Measurement;Measures;Mediating;Methods;Modeling;Neoadjuvant Therapy;Normal tissue morphology;Operative Surgical Procedures;Paclitaxel;Patients;Perfusion;Permeability;Pharmaceutical Preparations;Pilot Projects;Plasma;Positron-Emission Tomography;Prior Therapy;Radiation;Radiation Dosage;Radiation therapy;Rattus;Regimen;Reporting;Resectable;Resistance;Solid;Solid Neoplasm;Sterically Stabilized Liposome;Technology;Therapeutic;Toxic effect;Translating;Tumor Tissue;Vascular Endothelial Growth Factors;Work;barrier to care;cancer therapy;carcinogenesis;chemokine;chemotherapy;comparative;density;improved;irinotecan;multidisciplinary;nanoparticle;nanoparticle delivery;novel;pancreatic cancer model;preclinical study;programmed cell death ligand 1;response;small molecule;systemic toxicity;therapeutic nanoparticles;tumor;tumor microenvironment;uptake","Minibeam Radiation Therapy Enhanced Delivery of Nanoparticle Anticancer Agents to Pancreatic Cancer Tumors","PROJECT NARRATIVE:The promise of nanoparticle (NP) anticancer drugs remain largely unfulfilled due to a low tumor delivery in whichonly 5-10% of these agents in the plasma are actually distributed into solid tumors. Thus there is a strong needto discover methods that can capitalize on the promise of NP anticancer drugs by significantly and safelyenhancing tumor delivery especially in pancreatic cancer (PaCa) that has major inherent barriers to tumordelivery that are associated with high resistance and low response. Our proposal will evaluate if inductionminibeam radiation therapy (MRT) in contrast to conventional broad beam radiation therapy (BRT) increasestumor perfusion and the tumor delivery and efficacy of NPs in PaCa tumor models as the induction MRT + NPregimen would be an ideal fit for the pre-surgical neoadjuvant treatment of PaCa.","NCI","11054612","3/4/2025","PAR-17-240","5R01CA247652-05","5","R01","CA","247652","05","","BUCHSBAUM, JEFFREY ","4/1/2021","3/31/2026","Special Emphasis Panel[ZRG1-IMST-M(55)R]"," ","8188957","ZAMBONI, WILLIAM C","CHANG, SHA X;LIBUTTI, STEVEN K."," ","PHARMACOLOGY","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.9316","-79.057377","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF PHARMACY","275995023","UNITED STATES","N","4/1/2025","3/31/2026"," ","93.395","Non-SBIR/STTR","2025","555851"," ","NCI","406237","149614"," ","555851",
