----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: 2015,  2016,  2017,  2018,  2019,  2020,  2021,  2022,  2023,  2024,  2025"
"     Activity Code: R21,  R01,  R43,  R44"
"     Limit to: Project Title,  Project Terms,  Project Abstracts"
"     Text Search: ("hydrogel" and ("drug delivery" or "controlled release" or "sustained release"; or "targeted delivery" or "drug carrier" or "therapeutic delivery" or "nanoparticle delivery")) (advanced)"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","Post Award Action Type","Assistance Listing Number","Funding Mechanism","Fiscal Year","Total Cost","Total Cost(Sub Projects)","Funding IC(s)","Direct Cost IC","Indirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","Address;Bacteria;Bacterial Translocation;Biocompatible Materials;Biomimetic Materials;Biomimetics;Biopsy;Categories;Cells;Charge;Chemicals;Chronic;Clinical Trials;Colitis;Colon;Complex;Development;Disease;Disease remission;Drug Combinations;Drug Delivery Systems;Engineering;Epidermal Growth Factor;Epithelial Cells;Epithelium;Gastrointestinal tract structure;Gel;Gene Expression Profiling;Goals;Histology;Hydrogels;Immune response;Immune system;In Situ;Inflammation;Inflammation Process;Inflammatory Bowel Diseases;Interleukin-10;Intestinal Mucosa;Intestinal permeability;Invaded;Lamina Propria;Measures;Mediating;Mediator;Mucins;Mucositis;Mucous Membrane;Mucous body substance;Mus;Normal tissue morphology;Outcome;Pathogenicity;Patients;Permeability;Pharmaceutical Preparations;Polymers;Pre-Clinical Model;Process;Proteins;Regulatory T-Lymphocyte;Research;Ribosomal RNA;Rodent Model;Severities;Signal Transduction;Site;System;Therapeutic;Tissues;Treatment Efficacy;Ulcer;Vancomycin;chemically induced colitis;combinatorial;drug efficacy;epithelial repair;epithelium regeneration;evidence base;gut inflammation;healing;immunoregulation;improved;in vivo;innovation;intestinal epithelium;intestinal homeostasis;microbiota;mucosal site;murine colitis;nanoparticle;nanoparticle drug;novel strategies;premature;prevent;primary endpoint;protein expression;repaired;restoration;success;targeted treatment;tool","Engineered biomimetic materials for intestinal mucosal healing (Transfer)","PROJECT NARRATIVEDespite advances in available treatment achieving mucosal healing remains challenging for many patientssuffering from inflammatory bowel disease (IBD). In this proposal we will engineer a biomaterial-basedbiomimetic system that can selectively target the inflamed mucosa and locally release therapeutics to thedamaged epithelium. The proposed research will use innovative approaches that employ drug delivery not onlymimicking the mucus layer but also as a tool to interrogate epithelial repair at the site of mucosal inflammationto shed light on mechanisms of mucosal healing for IBD and many other mucosal barrier disorders.","NIDDK","11325992","8/11/2025","PA-24-254","7R01DK136941-03","7","R01","DK","136941","03","","SHEA-DONOHUE, TEREZ ","6/1/2025","5/31/2027","Biomaterials and Biointerfaces Study Section[BMBI]"," ","11232860","ZHANG, SUFENG ","Not Applicable","01","BIOMEDICAL ENGINEERING","804878247","M746VC6XMNH9","804878247","M746VC6XMNH9","US","40.914561","-73.125169","5992612","STATE UNIVERSITY NEW YORK STONY BROOK","STONY BROOK","NY","SCHOOLS OF MEDICINE","117943362","UNITED STATES","N","6/1/2025","5/31/2026"," ","93.847","Non-SBIR/STTR","2025","345572"," ","NIDDK","220000","125572"," ","345572",
"No NIH Category available","Affinity;Animals;Bacteria;Bacterial Infections;Bacteriophages;Biodistribution;Capsid;Caring;Cells;Chronic;Circulation;Clinical;Diffuse;Diffusion;Discipline of Nuclear Medicine;Dose;Drug Kinetics;Engineering;Exhibits;Exposure to;Frequencies;Gel;Goals;HIV;Health;Human;Hyaluronic Acid;Hydrogels;Image;Imaging Techniques;Imaging technology;Immunologics;Individual;Infection;Infectious Skin Diseases;Infective cystitis;Intravenous;Kinetics;Label;Mediating;Microbial Biofilms;Modeling;Modification;Multi-Drug Resistance;Mus;Peptides;Periprosthetic joint infection;Pharmacodynamics;Polymers;Pre-Clinical Model;Pseudomonas aeruginosa;Radioisotopes;Radiolabeled;Radionuclide Imaging;Resistance;Safety;Site;Skin;Staphylococcus aureus;Structure;Technetium 99m;Technology;Testing;Time;Tissues;Topical application;Toxic effect;Treatment Protocols;Viral;Virus;Vision;Work;Wound Infection;antimicrobial;antimicrobial resistant pathogen;bacterial resistance;chronic wound;crosslink;density;design;ear infection;imaging platform;in vivo;innovation;mouse model;novel;pathogen;pathogenic microbe;physical property;prevent;single photon emission computed tomography;technology platform;weapons;wound;wound dressing;wound environment;wound healing;wound treatment","Hydrogel Delivery of Bacteriophage to Treat Wound Infections","Project NarrativeBacteriophages viruses that kill bacteria are a promising but currently inadequate solution to the problem ofmultidrug-resistant bacterial infections. We propose to develop hydrogel-based wound dressings to enableconsistent effective delivery of phage therapy and imaging platforms to assess this delivery. These studieshave the potential to transform the treatment of chronic multidrug-resistant bacterial infections.","NIBIB","11229669","7/23/2025","PA-20-185","1R01EB038154-01A1","1","R01","EB","038154","01","A1","KULWATNO, JONATHAN P","8/1/2025","4/30/2029","Biomaterials and Biointerfaces Study Section[BMBI]"," ","8039756","BOLLYKY, PAUL L","CHAUDHURI, OVIJIT ","16","INTERNAL MEDICINE/MEDICINE","009214214","HJD6G4D6TJY5","009214214","HJD6G4D6TJY5","US","37.426852","-122.17047","8046501","STANFORD UNIVERSITY","STANFORD","CA","SCHOOLS OF MEDICINE","943052004","UNITED STATES","N","8/1/2025","4/30/2026"," ","93.286","Non-SBIR/STTR","2025","625909"," ","NIBIB","399920","225989"," ","625909",
"No NIH Category available","3D Print;Acceleration;Address;Animals;Anti-Inflammatory Agents;Anxiety;Area;Behavior;Behavioral;Biocompatible Materials;Biomedical Engineering;Bone Matrix;Bone Regeneration;Brain;Brain Edema;Brain Injuries;Calvaria;Caring;Cartilage;Cause of Death;Cephalic;Cessation of life;Clinic;Clinical Trials;Closed head injuries;Cognitive;Complication;Control Groups;Crosslinker;Custom;Data;Defect;Drug Delivery Systems;Edema;Emergency department visit;Encephalitis;Evaluation;Female;Formulation;Goals;Headache;Histology;Hospitalization;Hyaluronic Acid;Hydrogels;Implant;In Vitro;Industry;Intracranial Pressure;Left;Letters;Life;Magnetic Resonance Imaging;Medical;Mental Depression;Modeling;Modernization;Motor;Mus;Musculoskeletal;Neurologic;Neurologic Deficit;Neurosurgical Procedures;Operative Surgical Procedures;Organ;Osteoblasts;Paste substance;Patients;Pharmaceutical Preparations;Pliability;Procedures;Process;Property;Rattus;Recovery;Regenerative Medicine;Resolution;Rheology;Scalp structure;Solid;Speed;Stroke;Surgeon;Survivors;Swelling;Symptoms;TBI Patients;TBI treatment;Tendon structure;Testing;Thinness;Time;Tissues;Traumatic Brain Injury;Ultraviolet Rays;United States;animal model selection;base;biomaterial development;bioprinting;bone;bone repair;craniofacial bone;cranium;cranium plastic repair;crosslink;demineralization;design;disability;experience;fascinate;flexibility;healing;improved;improved outcome;in vivo;in vivo evaluation;innovation;interest;local drug delivery;male;motor deficit;multidisciplinary;neurological recovery;neurosurgery;nonhuman primate;novel;osteogenic;particle;particle exposure;preservation;standard of care;synergism;tool;translational impact;virtual","Single stage surgical intervention for treatment of severe traumatic brain injury","NarrativeWhen someone suffers a severe brain injury a portion of the skull must be removed so that the brain can swell.Unfortunately a second surgery is required to replace that missing piece of the skull and the patient canexperience neurological problems up until the day that missing bone is replaced. In a rat model we believe thatplacing our new flexible material during the first surgery that can later turn into bone will still allow the brain toswell initially while avoiding the second surgery and the neurological problems.","NINDS","11229370","4/3/2025","PA-24-254","7R01NS123051-04","7","R01","NS","123051","04","","UMOH, NSINI ALEASE","11/15/2024","2/28/2026","Bioengineering, Technology and Surgical Sciences Study Section[BTSS]"," ","8258971","DETAMORE, MICHAEL S.","NUDO, RANDOLPH J.","02","VETERINARY SCIENCES","785979618","LT9CXX8L19G1","785979618","LT9CXX8L19G1","US","40.57951","-105.081267","1725201","COLORADO STATE UNIVERSITY","FORT COLLINS","CO","SCHOOLS OF VETERINARY MEDICINE","805232002","UNITED STATES","N","11/15/2024","2/28/2025"," ","93.853","Non-SBIR/STTR","2024","489390"," ","NINDS","369753","119637"," ","489390",
"No NIH Category available","Address;Adsorption;Anti-Bacterial Agents;Antibiotic Resistance;Antibiotic Therapy;Antibiotics;Architecture;Bacteria;Bacterial Antibiotic Resistance;Bacterial Counts;Bacterial Infections;Bacteriophages;Behavior;Binding;Binding Proteins;Biological;Charge;Clinic;Clinical;Coculture Techniques;Collaborations;Dangerousness;Electrostatics;Emerging infection;Encapsulated;Engineering;Environment;Family;Goals;Histopathology;Homo;Hydrogels;Hydrophobicity;In Vitro;Incidence;Infection;Inflammation;Lytic;Maleimides;Mammalian Cell;Mediating;Microbial Biofilms;Modality;Modeling;Modernization;Morbidity - disease rate;Multi-Drug Resistance;Mus;Operative Surgical Procedures;Outcome;Patients;Penetration;Phenotype;Polymers;Population;Productivity;Proteins;Public Health;Publishing;Refractory;Reporting;Research;Severities;Staphylococcus aureus;Structure;Surface Properties;System;Testing;Toxic effect;Treatment Efficacy;Virus;Wound Infection;amphiphilicity;antibiotic resistant infections;antibiotic tolerance;antimicrobial;bactericide;biomaterial compatibility;cancer therapy;clinical practice;clinically relevant;combat;controlled release;copolymer;cost;cost estimate;expectation;experimental study;guanidinium;improved;in vivo;in vivo evaluation;methicillin resistant Staphylococcus aureus;mortality;nanomaterials;nanomedicine;nanoparticle;nanoparticle delivery;nanopolymer;porous hydrogel;preclinical evaluation;preclinical study;receptor;scaffold;screening;societal costs;targeted delivery;transplantation therapy;wound;wound biofilm;wound dressing;wound healing;wound treatment","Phage-Polymer Nanoparticles for Treatment of Antibiotic-Recalcitrant Wound Biofilm Infections","Project NarrativeThe goal of the proposed research is to develop polymer-bacteriophage conjugates for treatment of woundbiofilm infections. These challenging infections occur across the population and are rapidly increasing inincidence and severity. The proposed study will provide a new modality for treating these dangerous andexpensive of multidrug resistant wound infections.","NIAID","11224675","6/6/2025","PA-20-185","1R01AI186027-01A1","1","R01","AI","186027","01","A1","XU, ZUOYU ","6/6/2025","5/31/2030","Innovations in Nanosystems and Nanotechnology Study Section [INN]"," ","1964486","ROTELLO, VINCENT M.","PATEL, ROBIN ","02","CHEMISTRY","153926712","VGJHK59NMPK9","153926712","VGJHK59NMPK9","US","42.386914","-72.521131","850904","UNIVERSITY OF MASSACHUSETTS AMHERST","HADLEY","MA","SCHOOLS OF ARTS AND SCIENCES","010359450","UNITED STATES","N","6/6/2025","5/31/2026"," ","93.855","Non-SBIR/STTR","2025","593860"," ","NIAID","407777","186083"," ","593860",
"No NIH Category available","Address;Biocompatible Materials;Biodistribution;Blood - brain barrier anatomy;Brain;Cells;Characteristics;Chitosan;Clinical;Combined Modality Therapy;Development;Diagnosis;Dimensions;Disease;Distant;Dose;Drug Delivery Systems;Engineering;Enhancement Technology;Evaluation;Excision;Extravasation;Focused Ultrasound;Focused Ultrasound Therapy;Formulation;Fostering;Glioblastoma;Goals;Health Benefit;Home;Homing;Hydrogels;Improve Access;In Situ;Injectable;Injections;Killer Cells;Malignant neoplasm of brain;Marketing;Mediating;Methods;Microbubbles;Modality;Nature;Operative Surgical Procedures;Patients;Pre-Clinical Model;Process;Property;Proteins;Public Health;Recurrence;Recurrent tumor;Regimen;Research Personnel;Residual Neoplasm;Residual state;Resolution;Route;Safety;Surgical incisions;Surgically-Created Resection Cavity;TNFSF10 gene;Technology;Testing;Therapeutic;Time;Toxic effect;Treatment Protocols;Treatment outcome;Variant;allergic response;anti-cancer;bioscaffold;blood-brain barrier permeabilization;cancer cell;cellular engineering;chemoradiation;clinical development;combinatorial;cytotoxic;delivery vehicle;density;design;efficacy evaluation;efficacy outcomes;hydrogel scaffold;improved;in vivo;induced neural stem cells;innovation;manufacturing process;migration;minimally invasive;mouse model;neoplastic cell;nerve stem cell;neuro-oncology;novel;novel therapeutic intervention;pre-clinical;rational design;response;scaffold;self-renewal;spatiotemporal;stem cell therapy;survival outcome;treatment optimization;tumor","Enhanced Delivery of Cytotoxic Neural Stem Cells for Treatment of Glioblastoma Multiforme Using an Innovative In-situ Thermogelling Hydrogel and Focused Ultrasound","RELEVANCE TO PUBLIC HEALTHThe benefit of effective and less invasive therapies that can replace invasive surgical procedures and enhancetreatment outcomes for glioblastoma multiforme (GBM) patients is significant. Biomaterial formulations providingsteady and prolonged release over several months of highly effective tumor homing killer cells known as neuralstem cells (NSCs) and the use of a non-invasive dosing method known as focused ultrasound (FUS) to deliverNSCs systemically and across the blood brain barrier (BBB) can potentially increase efficacy outcomes to GBMtreatment regimen and transform the GBM treatment landscape. The overarching goal of this proposal is todevelop and evaluate a new treatment modality that combines a biodegradable and highly tunable biomaterialscaffold and non-invasive FUS to enhance delivery of NSCs to tumor cells and to curb the treatment of GBM.","NCI","11192852","7/28/2025","PAR-22-242","5R01CA286609-02","5","R01","CA","286609","02","","SORG, BRIAN S","9/13/2024","8/31/2029"," "," ","10525230","BENHABBOUR, SOUMYA RAHIMA","DAYTON, PAUL A;HINGTGEN, SHAWN "," ","BIOMEDICAL ENGINEERING","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.9316","-79.057377","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","9/1/2025","8/31/2026"," ","93.394","Non-SBIR/STTR","2025","623467"," ","NCI","414917","208550"," ","623467",
"No NIH Category available","Address;Animal Experiments;Animal Model;Animals;Antineoplastic Agents;Area;Behavior;Blood capillaries;Body Fluids;Brain;Brain Neoplasms;Camptothecin;Carmustine;Cells;Chemicals;Chemistry;Clinical;Clinical Trials;Combined Modality Therapy;Diagnosis;Diffuse;Diffusion;Disease;Distant;Drug Carriers;Drug Design;Drug Exposure;Drug Kinetics;Evaluation;Excision;Exhibits;Feedback;Foundations;Gel;Gliadel Wafers;Glioblastoma;Glioma;Goals;Histologic;Human;Hydrogels;Implant;In Vitro;Infiltration;Investigation;Laboratories;Location;Malignant - descriptor;Malignant Glioma;Malignant Neoplasms;Malignant neoplasm of brain;Measures;Modeling;Molecular;Monitor;Morbidity - disease rate;Mus;Neoplasms;Newly Diagnosed;Operative Surgical Procedures;Patient-Focused Outcomes;Patients;Penetration;Pharmaceutical Preparations;Phase;Play;Primary Brain Neoplasms;Property;Radiation therapy;Recurrence;Recurrent disease;Recurrent tumor;Reproducibility of Results;Research Activity;Rodent;Rodent Model;Role;Safety;Series;Site;Surface;Surgically-Created Resection Cavity;Survival Rate;System;Technology;Testing;Therapeutic;Therapeutic Agents;Time;Tissues;Topotecan;Toxic effect;Translating;Translations;Tumor Tissue;Viscosity;Work;amphiphilicity;biomaterial compatibility;cancer cell;cancer type;chemotherapy;clinical development;clinical translation;combat;controlled release;critical period;cytotoxicity;design;drug release kinetics;drug release profile;effective therapy;experimental study;functional group;human disease;immunogenicity;implantation;improved;in vivo;irinotecan;millimeter;mortality;mouse model;nanofiber;novel;pre-clinical;rational design;residence;self assembly;side effect;technology platform;translational potential;treatment strategy;tumor","Self-Assembling Camptothecin Nanofiber Hydrogels as Adjunct Therapy for Intraoperative Treatment of Malignant Glioma","Project narrative (relevance)One of the greatest hurdles to prolonging survival in patients with malignant brain tumors is the inevitable tumorrecurrence in the vicinity of the original location or the resection cavities despite multimodal treatment includingsurgery radiotherapy and chemotherapy. We aim to develop a camptothecin drug amphiphile (DA)nanofiber hydrogel platform technology as adjunct therapy for intraoperative treatment of malignant braincancer that can eradicate infiltrated glioma cells by maintaining a therapeutic concentration within the brain whileminimizing systemic drug exposure. This goal will be achieved by evaluating and optimizing our current hydrogel-forming DA technology with in vitro ex vivo and in vivo brain tumor models well-established in our laboratoryand the results of our study will validate a new local treatment strategy to combat currently incurable braincancers with significant survival benefits and good tolerance.","NCI","11178652","8/8/2025","PAR-22-242","5R01CA284268-03","5","R01","CA","284268","03","","BEIER, HOPE THOMAS","9/4/2023","8/31/2028"," "," ","10930335","CUI, HONGGANG ","QUINONES-HINOJOSA, ALFREDO ","07","ENGINEERING (ALL TYPES)","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.325256","-76.605131","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","BIOMED ENGR/COL ENGR/ENGR STA","212182680","UNITED STATES","N","9/1/2025","8/31/2026"," ","93.394","Non-SBIR/STTR","2025","529515"," ","NCI","399223","130292"," ","529515",
"No NIH Category available","Address;Adherence;Affect;Agreement;Air Pollution;Allergens;Allergic Conjunctivitis;Allergy;American;Anions;Anti-Allergic Agents;Antihistamines;Area;Award;Biological Availability;Blurred vision;Cations;Charge;Chemistry;Clinical;Clinical Research;Clinical Trials;Contact Lenses;Corneal Opacity;Corneal Ulcer;Cyclic GMP;Data;Development;Drops;Drug Controls;Drug Delivery Systems;Drug Hypersensitivity;Drug Kinetics;Dryness;Electrostatics;Exposure to;Eye;Eyedrops;Face;Fatty Acids;Frustration;Grant;Histamine Agents;Hour;Hydrogels;Hydrophilic Contact Lenses;Immune response;Implant;In Vitro;Inflammatory;Investigational Drugs;Investigational New Drug Application;Ionic Strengths;Label;Legal patent;Licensing;Life;Manufactured Supplies;Marketing;Modeling;Modification;Morphology;Nature;New Zealand;Optics;Oryctolagus cuniculus;Oxygen;Pamphlets;Patients;Pharmaceutical Preparations;Phase;Physiological;Pollen;Polymers;Preclinical Drug Development;Preclinical data;Prevalence;Property;Publications;Quality Control;Recommendation;Recording of previous events;Redness;Research Personnel;Resolution;Role;Safety;Scheme;Seasons;Signs and Symptoms;Silicones;Source;Stimulus;Sting Injury;Surface;Symptoms;Taiwan;Technology;Time;Toxic effect;Toxicology;Translating;United States National Institutes of Health;Water;Work;animal dander;aqueous;bulbar conjunctiva;carbon emissions;clinical trial protocol;commercialization;conjunctiva;density;design;dosage;drug development;environmental change;experience;improved;in vivo;irritation;lens;long chain fatty acid;manufacture;manufacturing process;nano;next generation;ophthalmic drug;pre-Investigational New Drug meeting;pre-clinical;preclinical development;prototype;reduce symptoms;side effect;success;symptom management;technology platform;transmission process;uptake","Drug delivery platform for ocular allergy therapy","PROJECT NARRATIVEAmong the estimated 165 million worldwide contact lens wearers approximately one third of these suffer fromallergies but face a challenge as the application of eye drops is generally incompatible with lens wearing. Wepropose to develop a next generation 1-day drug delivery contact lens (DDCL) for olopatadine using boundarycharge modifiers to extend and control drug release the work will build on the Lynthera project team's previousaccomplishments in the field  enabling the use of the most efficacious allergy drug and the most popular contactlens material (silicone hydrogel). A daily disposable DDCL with prescription and loaded with olopatadine cansustainably deliver high-precision dosage for at least 12 hours to relieve allergy symptoms.","NEI","11172532","8/4/2025","PA-23-230","5R44EY033611-03","5","R44","EY","033611","03","","GOVER, TONY DOUGLAS","8/1/2022","7/31/2026","Special Emphasis Panel[ZRG1-BBBT-F(10)B]"," ","8292526","YANG, ARTHUR ","Not Applicable","11","Unavailable","079638249","EHB9K3ECWV79","079638249","EHB9K3ECWV79","US","40.065307","-76.41685","10038125","LYNTHERA CORPORATION","LANCASTER","PA","Domestic For-Profits","176011292","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.867","SBIR/STTR","2025","900003"," ","NEI","679232","161892"," ","900003",
"No NIH Category available","3-Dimensional;Acoustic Nerve;Acoustics;Adhesions;Auditory;Bacteria;Bacterial Adhesion;Biocompatible Materials;Biological;Cadaver;Cell Adhesion;Cells;Chemicals;Cicatrix;Clinical;Cochlea;Cochlear Implants;Complex;Development;Devices;Dexamethasone;Drug Delivery Systems;Effectiveness;Electric Stimulation;Electrophysiology (science);Engineering;Equilibrium;Fibrosis;Film;Foreign Bodies;Fracture;Friction;Funding;Glucocorticoids;Glycolates;Health;Hearing;Histologic;Housing;Human;Hydrogels;Implant;Implanted Electrodes;Inflammation;Inflammatory;Kinetics;Legal patent;Masks;Measures;Mechanics;Medical Device;Membrane Proteins;Methods;Microspheres;Modeling;Modulus;Mus;Music;Patients;Performance;Platinum;Polymers;Preclinical data;Process;Property;Proteins;Reaction;Reporter;Residual state;Resistance;Resolution;Safety;Signal Transduction;Silastic;Staphylococcus aureus;Structure;Surface;Surface Properties;System;Technology;Testing;Thick;Thinness;Tissues;Transducers;Translations;Trauma;Water;Work;X ray microscopy;capsule;combat;crosslink;deaf;density;electric impedance;flexibility;functional improvement;hearing impairment;hearing restoration;implant coating;implant material;implantation;improved;learning materials;mechanical properties;medical implant;mouse model;neuroprosthesis;new technology;novel;novel therapeutics;polycaprolactone;polymerization;preservation;prevent;radiological imaging;response;sheep model;speech in noise;surface coating","Reduction of Intracochlear Trauma and Fibrosis Using Dual Network Zwitterionic Hydrogel Thin Films on Cochlear Implant Surfaces","Project Narrative: Cochlear implants represent the most successful neuroprosthesis in clinical use providingdirect electrical stimulation to the auditory nerve to restore hearing to deaf patients. However cochlear implantrecipients usually struggle to understand complex auditory signals such as speech in noise and music. Thesestudies seek to develop and understand novel thin film coatings applied to the implant to diminish trauma andscarring in the cochlea improve the interface of the implant with the cochlear tissues and enhance the abilityof cochlear implants to represent complex auditory signals.","NIDCD","11164833","7/23/2025","PA-20-185","5R01DC012578-13","5","R01","DC","012578","13","","MILLER, ROGER ","3/4/2013","7/31/2028","Auditory System Study Section[AUD]"," ","1953794","HANSEN, MARLAN R","GUYMON, ALLAN ","01","OTOLARYNGOLOGY","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.173","Non-SBIR/STTR","2025","572055"," ","NIDCD","369155","202900"," ","572055",
"No NIH Category available","Acute;Address;Adult;Amino Acids;Anabolic Agents;Animal Model;Animals;Anti-Inflammatory Agents;Area;Atomic Force Microscopy;Award;Biocompatible Materials;Biological;Biological Factors;Cartilage;Cells;Clinical Treatment;Collaborations;Coupled;Defect;Dense Connective Tissue;Deposition;Development;Drug Delivery Systems;Education;Enabling Factors;Encapsulated;Engineering;Environment;Exhibits;FDA approved;Funding;Gel;Gelatin;Glutaminase;Health;Histone Deacetylase Inhibitor;Homeostasis;Hyaluronic Acid;Hydrogels;Implant;In Vitro;Industry;Infiltration;Inflammation;Inflammatory;Injectable;Injury;Interleukins;Invaded;Joints;Knee;Legal patent;Manuscripts;Mechanics;Meniscus structure of joint;Methods;Microcapsules drug delivery system;Miniature Swine;Modeling;Musculoskeletal;Nuclear;Operative Surgical Procedures;Outcome;Patients;Phase;Phenotype;Positioning Attribute;Procedures;Process;Production;Publishing;Repair Material;Secure;Site;Surface;Testing;Therapeutic;Thinness;Time;Tissues;Translating;Trichostatin A;Weight-Bearing state;Work;antagonist;arthropathies;cell motility;clinically relevant;comorbidity;crosslink;density;design;functional restoration;healing;improved;in vivo;inflammatory milieu;injured;innovation;interfacial;joint injury;meniscal tear;meniscus injury;minimally invasive;novel;novel therapeutics;parent project;preservation;release factor;repair function;repair model;repair strategy;repaired;residence;scaffold;subcutaneous;transcriptome sequencing;wound","Dynamic Acellular Materials for Repairing Dense Connective Tissues","NarrativeMenisci of the knee cushion our joints during normal loading but are commonly injured. Unfortunately healing ofmenisci in adults is limited and current treatments do not restore function resulting in degeneration of theunderlying cartilage and progressive joint disease. To address this we engineer injectable biomaterials withtailored biofactor release to sequentially promote cell migration from surrounding tissue and direct matrixformation upon arrival at the injury site and test these in a clinically relevant large animal meniscus repair model.","NIAMS","11160139","4/28/2025","PA-20-185","2R01AR056624-16","2","R01","AR","056624","16","","MARQUITZ, ARON ","7/14/2009","4/30/2030","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","8027763","MAUCK, ROBERT L","BURDICK, JASON A","03","ORTHOPEDICS","042250712","GM1XX56LEP58","042250712","GM1XX56LEP58","US","39.953462","-75.193983","6463801","UNIVERSITY OF PENNSYLVANIA","PHILADELPHIA","PA","SCHOOLS OF MEDICINE","191046205","UNITED STATES","N","5/1/2025","4/30/2026"," ","93.846","Non-SBIR/STTR","2025","526360"," ","NIAMS","417117","109243"," ","526360",
"No NIH Category available","3-Dimensional;Address;Advanced Development;Alginates;Amines;Apoptotic;Biomedical Engineering;Blood Vessels;Body System;Cell Survival;Cell Transplantation;Doctor of Philosophy;Drug Delivery Systems;Encapsulated;Endothelial Cells;Engineered skin;Engineering;Esters;Exhibits;Growth;Growth Factor;Human;Hydrogels;Kinetics;Ligands;Messenger RNA;Modeling;Nucleic Acids;Organ;Perfusion;Polyethylene Glycols;Polymers;Property;Proteins;Regenerative Medicine;Skin;System;Testing;Therapeutic;Time;Tissue Engineering;Transfection;Vascular Endothelial Growth Factors;Vascular System;Vascularization;Viral Vector;Work;biodegradable polymer;biomaterial compatibility;bioprinting;chemical stability;controlled release;crosslink;extracellular;improved;innovation;mRNA Expression;nanoparticle;novel therapeutics;parent grant;particle;revascularization;tissue regeneration","Optimizing Therapeutic Revascularization by  Endothelial Cell_Transplantation","PROJECT NARRATIVEAs in the parent grant the supplement address a problem that is common to tissue engineering of allvascularized replacement organs namely how to incorporate a functional microvascular system for organperfusion. We will introduce two new innovations in this supplement: (1) we will use a new versatile degradablepolymer material for delivery of growth factors particularly VEGF in a time and spatially controlled fashionwithin our 3D bioprinted skin; and (2) we will use an innovative strategy for controlled slow extracellularrelease of mRNA polyplexes which will allow us to provide weeks long expression of mRNA creatingprolonged Bcl2 expression (which we have previously show to dramatically enhance vascular maturation)providing safer more transient expression than is possible with viral vectors.","NHLBI","11137351","1/18/2025","PA-23-189","3R01HL169238-01A1S1","3","R01","HL","169238","01","A1S1","LUNDBERG, MARTHA ","12/1/2024","3/31/2025"," "," ","1930382","POBER, JORDAN S","SALTZMAN, W. MARK","03","MICROBIOLOGY/IMMUN/VIROLOGY","043207562","FL6GV84CKN57","043207562","FL6GV84CKN57","US","41.310925","-72.926428","9420201","YALE UNIVERSITY","NEW HAVEN","CT","SCHOOLS OF MEDICINE","065208327","UNITED STATES","N","1/20/2025","3/31/2025"," ","93.837","Non-SBIR/STTR","2025","36814"," ","NHLBI","24744","12070"," ","36814",
