----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: 2015,  2016,  2017,  2018,  2019,  2020,  2021,  2022,  2023,  2024,  2025"
"     Activity Code: R21,  R01,  R43,  R44"
"     Limit to: Project Title,  Project Terms,  Project Abstracts"
"     Text Search: ("polycaprolactone" and ("drug delivery" or "controlled release" or "sustained release"; or "targeted delivery" or "drug carrier" or "therapeutic delivery" or "nanoparticle delivery")) (advanced)"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","Post Award Action Type","Assistance Listing Number","Funding Mechanism","Fiscal Year","Total Cost","Total Cost(Sub Projects)","Funding IC(s)","Direct Cost IC","Indirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11370459","7/30/2025","PA-20-185","3R01AR077761-05S1","3","R01","AR","077761","05","S1","MARQUITZ, ARON ","8/1/2024","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.846","Non-SBIR/STTR","2025","48042"," ","NIAMS","31420","16622"," ","48042",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11228403","7/29/2025","PA-20-185","5R01AR077761-05","5","R01","AR","077761","05","","MARQUITZ, ARON ","8/1/2024","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.846","Non-SBIR/STTR","2025","550847"," ","NIAMS","335883","214964"," ","550847",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11221100","11/7/2024","PA-24-254","3R01AR077761-04S1","3","R01","AR","077761","04","S1","MARQUITZ, ARON ","9/21/2021","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2024","7/31/2025"," ","93.846","Non-SBIR/STTR","2025","48042"," ","NIAMS","31420","16622"," ","48042",
"No NIH Category available","Acids;Angiogenesis Inhibitors;Animal Model;Apoptosis;Biological Factors;Biological Products;Blindness;Cannulas;Cell Proliferation;Cell model;Choroid;Choroidal Neovascularization;Clinical;Complement;Custom;Data;Development;Devices;Disease;Disease Progression;Drug Delivery Systems;Drug Kinetics;Drug Stability;Encapsulated;Endothelial Cells;Ensure;Enzymes;Exudative age-related macular degeneration;Eye;Eye diseases;Formulation;Frequencies;Gene Modified;Glycolates;Goals;Griseofulvin;Health Care Systems;Heme;Human;Implant;In Vitro;Injections;Iron;Kinetics;Lasers;Lead;Local Therapy;Methods;Mission;Modality;Modeling;Mus;Mutation;Oryctolagus cuniculus;Oxygen;Patients;Pharmaceutical Preparations;Polymers;Public Health;Research;Research Support;Resources;Retina;Retinal Diseases;Retinal Neovascularization;Signal Transduction;Specificity;System;Testing;Therapeutic;Therapeutic Effect;Therapeutic Intervention;Toxic effect;Toxicity Tests;Tube;United States National Institutes of Health;Vascular Endothelial Growth Factors;Visual impairment;angiogenesis;anti-fungal agents;biomaterial compatibility;biophysical properties;cell growth;clinically relevant;cost;effective therapy;experimental study;ferrochelatase;human disease;in vivo;inhibitor;innovation;intravitreal injection;knock-down;life span;melting;migration;mouse model;neovascular;neovascularization;novel;novel therapeutics;ocular neovascularization;particle;polycaprolactone;prevent;proliferative diabetic retinopathy;protoporphyrin IX;side effect;small molecule;stem;targeted treatment;therapeutic evaluation;therapy resistant","Long-acting formulations of griseofulvin for ocular neovascularization therapy","PROJECT NARRATIVEThe proposed research is relevant to public health because our new polymer devices enable safe affordableeffective and convenient therapy of neovascular eye diseases such as neovascular age-related maculardegeneration and proliferative diabetic retinopathy which cause irreversible blindness in millions of patients.Therefore this research is consistent with the mission of the NIH which pertains to developing resources thatwill assure the nation's capability to efficiently prevent and/or treat human diseases.","NEI","11172603","3/28/2025","PA-20-185","5R01EY035159-03","5","R01","EY","035159","03","","NEUHOLD, LISA ","7/1/2023","3/31/2027","Special Emphasis Panel[ZRG1-NV-P(81)S]"," ","8758879","YEO, YOON ","CORSON, TIMOTHY W","04","PHARMACOLOGY","072051394","YRXVL4JYCEF5","072051394","YRXVL4JYCEF5","US","40.41872","-86.910361","1481402","PURDUE UNIVERSITY","WEST LAFAYETTE","IN","SCHOOLS OF PHARMACY","47906","UNITED STATES","N","4/1/2025","3/31/2026"," ","93.867","Non-SBIR/STTR","2025","649794"," ","NEI","466042","183752"," ","649794",
"No NIH Category available","3-Dimensional;Acoustic Nerve;Acoustics;Adhesions;Auditory;Bacteria;Bacterial Adhesion;Biocompatible Materials;Biological;Cadaver;Cell Adhesion;Cells;Chemicals;Cicatrix;Clinical;Cochlea;Cochlear Implants;Complex;Development;Devices;Dexamethasone;Drug Delivery Systems;Effectiveness;Electric Stimulation;Electrophysiology (science);Engineering;Equilibrium;Fibrosis;Film;Foreign Bodies;Fracture;Friction;Funding;Glucocorticoids;Glycolates;Health;Hearing;Histologic;Housing;Human;Hydrogels;Implant;Implanted Electrodes;Inflammation;Inflammatory;Kinetics;Legal patent;Masks;Measures;Mechanics;Medical Device;Membrane Proteins;Methods;Microspheres;Modeling;Modulus;Mus;Music;Patients;Performance;Platinum;Polymers;Preclinical data;Process;Property;Proteins;Reaction;Reporter;Residual state;Resistance;Resolution;Safety;Signal Transduction;Silastic;Staphylococcus aureus;Structure;Surface;Surface Properties;System;Technology;Testing;Thick;Thinness;Tissues;Transducers;Translations;Trauma;Water;Work;X ray microscopy;capsule;combat;crosslink;deaf;density;electric impedance;flexibility;functional improvement;hearing impairment;hearing restoration;implant coating;implant material;implantation;improved;learning materials;mechanical properties;medical implant;mouse model;neuroprosthesis;new technology;novel;novel therapeutics;polycaprolactone;polymerization;preservation;prevent;radiological imaging;response;sheep model;speech in noise;surface coating","Reduction of Intracochlear Trauma and Fibrosis Using Dual Network Zwitterionic Hydrogel Thin Films on Cochlear Implant Surfaces","Project Narrative: Cochlear implants represent the most successful neuroprosthesis in clinical use providingdirect electrical stimulation to the auditory nerve to restore hearing to deaf patients. However cochlear implantrecipients usually struggle to understand complex auditory signals such as speech in noise and music. Thesestudies seek to develop and understand novel thin film coatings applied to the implant to diminish trauma andscarring in the cochlea improve the interface of the implant with the cochlear tissues and enhance the abilityof cochlear implants to represent complex auditory signals.","NIDCD","11164833","7/23/2025","PA-20-185","5R01DC012578-13","5","R01","DC","012578","13","","MILLER, ROGER ","3/4/2013","7/31/2028","Auditory System Study Section[AUD]"," ","1953794","HANSEN, MARLAN R","GUYMON, ALLAN ","01","OTOLARYNGOLOGY","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.664405","-91.542152","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.173","Non-SBIR/STTR","2025","572055"," ","NIDCD","369155","202900"," ","572055",
"No NIH Category available","Acceleration;Acute;Address;Adopted;Affect;Affinity;Age;Alzheimer's Disease;Applications Grants;Binding;Biocompatible Materials;Biological;Biological Products;Blood Vessels;Bone Injury;Bone Morphogenetic Proteins;Bone Regeneration;Bone Transplantation;Bone callus;Cartilage;Cells;Chondrocytes;Clinic;Clinical;Data;Development;Diabetes Mellitus;Disease;Dose;Encapsulated;Exhibits;FDA approved;Fracture;Goals;Grant;Heparin;Impaired healing;In Vitro;Injectable;Injury;Invaded;Kinetics;Label;Literature;Mediating;Modeling;Molecular;Mus;NGFR Protein;Natural regeneration;Nerve Growth Factors;Neuropathy;Nociception;Obesity;Operative Surgical Procedures;Osteoblasts;Pain;Painless;Pathway interactions;Patient-Focused Outcomes;Patients;Persons;Pharmacotherapy;Phase;Physiologic Ossification;Population;Positioning Attribute;Pre-Clinical Model;Process;Protein Isoforms;Receptor Activation;Receptor Signaling;Research;Risk;Risk Reduction;Role;Signal Pathway;Signal Transduction;Site;Smoking;Stress Fractures;Testing;Therapeutic;Time;Translating;Translations;United States;Vascularization;Work;beta catenin;biodegradable scaffold;bone;bone fracture repair;bone healing;bone repair;cartilaginous;clinical efficacy;clinical translation;clinically relevant;comorbidity;cost;design;diabetic;fracture risk;healing;implantation;improved;in vivo;intramembranous bone formation;local drug delivery;long bone;mouse model;mutant;nanoengineering;nanowire;nerve supply;neuron regeneration;neurovascular;novel;osteogenic;polycaprolactone;programs;receptor;reinnervation;repaired;response;standard of care;tibia;transcriptome sequencing","Therapeutic Application of Painless Nerve Growth Factor to Accelerate Endochondral Fracture Repair","PROJECT NARRATIVECurrently there are no well-adopted FDA approved drug therapies available to accelerate fracture healing andpatients with poorly healing fractures typically require surgical intervention. The long-term goal of this project isto develop and validate an injectable biodegradable nanowire delivery platform for local and sustained releaseof nerve growth factor (NGF) to accelerate fracture healing. This grant proposal focuses on optimizing the timingdose and delivery platform for a novel painless isoform of NGF while also for the first time aiming to rigorouslydetermine the mechanism of action for NGF in bone regeneration.","NIAMS","11162999","11/6/2024","PA-24-254","7R01AR077761-04","7","R01","AR","077761","04","","MARQUITZ, ARON ","8/1/2024","7/31/2026","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","10219305","BAHNEY, CHELSEA SHIELDS","Not Applicable","11","ORTHOPEDICS","094878337","KMH5K9V7S518","094878337","KMH5K9V7S518","US","37.767442","-122.413937","577508","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","SAN FRANCISCO","CA","SCHOOLS OF MEDICINE","941432510","UNITED STATES","N","8/1/2024","7/31/2025"," ","93.846","Non-SBIR/STTR","2025","612051"," ","NIAMS","373202","238849"," ","612051",
"No NIH Category available","3-Dimensional;Adult;Anatomy;Anxiety;Behavior;Behavioral;Calcium Channel;Cell membrane;Charge;Clinical;Clinical Treatment;Data;Data Set;Development;Diameter;Diffusion;Disease;Dizziness;Dose;Drowsiness;Drug Delivery Systems;Drug abuse;Drug usage;Edema;Electrophysiology (science);Encapsulated;Exposure to;Failure;Fatigue;Future;Growth Cones;Immune response;In Vitro;Inflammatory;Injectable;Injections;Injury;Interleukin-6;Intervention;Lateral;Lesion;Long-term disability;Macrophage;Mental Depression;Microscopy;Microspheres;Modeling;Molecular;Molecular Weight;Morphology;Multivariate Analysis;Mus;Nerve;Nervous System Disorder;Neurologic Deficit;Neurons;Neutrophil Infiltration;Particle Size;Pathologic;Performance;Peripheral;Peritoneal Macrophages;Phagocytosis;Pharmaceutical Preparations;Play;Polymer Chemistry;Polymers;Porosity;Property;Psychopathology;Publishing;Quality of life;Recovery of Function;Research;Role;Site;Speed;Spinal Cord;Spinal cord injury;Stress;Structure;Surface;Swelling;Synaptic Transmission;System;TNF gene;Techniques;Testing;Therapeutic;Thick;Tissues;Trauma;Viral;Water;axon injury;axon regeneration;behavior in vitro;biocompatible polymer;chronic pain;clinically relevant;cytokine;drug of abuse;experimental study;fabrication;gabapentin;hemocompatibility;hydrophilicity;improved;in vivo;injury and repair;injury recovery;interdisciplinary approach;meter;neurological recovery;neuronal circuitry;novel;painful neuropathy;particle;pharmacologic;polycaprolactone;pregabalin;presynaptic neurons;reconstitution;response;side effect;spasticity;spinal cord repair;surfactant;time interval;voltage","Promoting spinal cord repair using a polymer-based drug delivery system","PROJECT NARRATIVEDespite recent progress no effective disease-modifying treatment is currently available for SCI. The beneficialaction of gabapentinoids (e.g. drugs used clinically to treat various neurological disorders) in promotingneurological recovery after SCI is gaining support. However systemic administration of this class of drugs cancause adverse side effects. More recently gabapentinoids' rise as drugs of abuse generates concern. Thisstudy proposes and aims to test the hypothesis that a tunable drug delivery system consisting of biocompatiblepolymer-based injectable microspheres that enable localized intraspinal delivery of gabapentinoids favorsspinal cord repair while circumventing detrimental side effects and misuse associated with systemicadministration of this class of drugs.","NINDS","11139661","4/25/2025","PA-21-219","1R21NS139109-01A1","1","R21","NS","139109","01","A1","BAMBRICK, LINDA LOUISE","4/25/2025","3/31/2027","Special Emphasis Panel[ZRG1 NV-E (02)]"," ","15347980","TEDESCHI, ANDREA ","Not Applicable","03","NEUROSCIENCES","832127323","DLWBSLWAJWR1","832127323","DLWBSLWAJWR1","US","39.999598","-83.033131","6218701","OHIO STATE UNIVERSITY","Columbus","OH","SCHOOLS OF MEDICINE","43205","UNITED STATES","N","4/25/2025","3/31/2026"," ","93.853","Non-SBIR/STTR","2025","184837"," ","NINDS","125000","59837"," ","184837",
"No NIH Category available","2'-deoxyadenosine;Adherence;Adult;Africa South of the Sahara;Animals;Anti-Retroviral Agents;Anti-viral Agents;Biological Assay;Biomedical Engineering;Blood;Caring;Cessation of life;Child;Childhood;Clinical;Clinical Data;Collaborations;Contraceptive Agents;Data;Development;Dose;Drug Administration Routes;Drug Delivery Systems;Drug Kinetics;Encapsulated;Family suidae;Formulation;Funding;Future;Goals;HIV;HIV Infections;HIV-1;Half-Life;Homelessness;Hormones;Implant;In Vitro;Injections;Kinetics;Lamivudine;Lymphocyte;Measures;Mechanics;Medical;Medicine;Needles;New Zealand;Nucleosides;Oral Administration;Oryctolagus cuniculus;Outcome;Painless;Persons;Pharmaceutical Preparations;Phase;Phase I Clinical Trials;Phase II Clinical Trials;Plasma;Polyvinyl Alcohol;Polyvinyls;Population;Populations at Risk;Prevention;Prevention strategy;Prophylactic treatment;Pyrrolidinones;Quality of life;RNA-Directed DNA Polymerase;Rattus;Regimen;Research;Research Personnel;Resource-limited setting;Sampling;Seasons;Self Administration;Skin;Solvents;Subcutaneous Injections;Sucrose;Surface;System;Tablets;Testing;Therapeutic;Treatment Efficacy;United States National Institutes of Health;Universities;Water;Work;access to medications;biodegradable polymer;design;emtricitabine;experience;improved;in vivo;inhibitor;medication compliance;nanomolar;novel;novel therapeutics;pediatric patients;phase III trial;poly(lactic acid);polycaprolactone;prevent;prophylactic;skin patch;technology development;technology platform;transmission process;treatment strategy;tripolyphosphate","Self-administered microneedle patch for long-acting release of antiretroviral agents","PROJECT NARRATIVEDespite the availability of antiviral drugs as treatment and prevention strategies for HIV there is still no cure andthere are ongoing challenges with adherence and delivery of current daily regimens. Our approach is to developa new slow-releasing formulation for highly potent antiviral drugs that will provide a novel delivery system usingbiodegradable microneedle patches that can be painlessly self-administered and can be used in adult andpediatric populations. This approach could provide a strategy for simplified long-term administration of antiviraldrugs for up to several months to increase medication adherence and treatment efficacy.","NIAID","11134673","5/19/2025","PA-20-195","5R21AI186628-02","5","R21","AI","186628","02","","PROTOPOPOVA, MARINA ","7/8/2024","5/31/2026","HIV Molecular Virology, Cell Biology, and Drug Development Study Section[HVCD]"," ","11337912","TAO, SIJIA ","PRAUSNITZ, MARK R.","05","PEDIATRICS","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.791247","-84.3249","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","303221007","UNITED STATES","N","6/1/2025","5/31/2026"," ","93.855","Non-SBIR/STTR","2025","196188"," ","NIAID","160875","35313"," ","196188",
"No NIH Category available","Abbreviations;Affect;Area;Area Under Curve;Blood;Blood - brain barrier anatomy;Blood capillaries;Brain;Carmustine;Cell Membrane Permeability;Cerebrospinal Fluid;Cessation of life;Chemotherapy-Oncologic Procedure;Clinic;Clinical;Combined Modality Therapy;Contralateral;Data;Dextrans;Dose;Dose Limiting;Doxorubicin;Drug Combinations;Drug Delivery Systems;Drug Formulations;Drug Kinetics;Drug usage;Excision;Genetic;Genetic Engineering;Genetically Engineered Mouse;Genotype;Gliadel;Glioblastoma;Glycolates;Histopathology;Hydrophobicity;Immunohistochemistry;Implant;In Vitro;Individual;Intravenous;Isopropanol;Kinetics;Left;Location;Malignant Neoplasms;Malignant neoplasm of brain;Maximum Tolerated Dose;Modeling;Molecular Target;Morphology;Mus;Mutation;Nature;Nude Mice;Operative Surgical Procedures;Outcome;Paclitaxel;Pathologic;Patients;Penetration;Pharmaceutical Preparations;Polyesters;Polymers;Predisposition;Primary Brain Neoplasms;Property;Radiation;Radiation therapy;Recurrence;Recurrent tumor;Residual Cancers;Resistance;Role;SDZ RAD;Solubility;Surface;Surgically-Created Resection Cavity;TNF-related apoptosis-inducing ligand;Therapeutic;Thinness;Tight Junctions;Time;Toxic effect;Translating;Tumor Cell Invasion;Tumor Tissue;Xenograft procedure;anti-cancer research;biodegradable polymer;bioluminescence imaging;blood-brain barrier crossing;brain tissue;cancer cell;cancer invasiveness;cancer therapy;chemotherapeutic agent;chemotherapy;controlled release;cytotoxic;drug release kinetics;fabrication;flexibility;improved;in vivo;indexing;interstitial;mTOR Inhibitor;mortality;mouse model;nanofiber;neural implant;novel;poly(lactic acid);polycaprolactone;precision oncology;rate of change;scaffold;standard of care;success;targeted cancer therapy;temozolomide;tumor;tumor growth","Tunable Temporal Drug Release for Optimized Synergistic Combination Therapy of Glioblastoma","NARRATIVEGlioblastoma is a devastating brain cancer that needs new treatment options because even with chemotherapyradiation and surgical resection tumor recurrence almost always leads to death. Here we propose synergisticcombination therapy that relies on optimized elution of chemotherapeutics from a nanofibrous controlled-releasescaffold placed in the brain at time of surgery to remove the tumor.","NCI","11127655","7/28/2025","PA-20-185","5R01CA257009-05","5","R01","CA","257009","05","","AVULA, LEELA RANI ","8/1/2021","7/31/2026","Drug Discovery and Molecular Pharmacology Study Section[DMP]"," ","8299299","AINSLIE, KRISTY M","Not Applicable"," ","NONE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.9316","-79.057377","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF PHARMACY","275995023","UNITED STATES","N","8/1/2025","7/31/2026"," ","93.394","Non-SBIR/STTR","2025","349391"," ","NCI","235605","113786"," ","349391",
"No NIH Category available","Actins;Adopted;Affect;Air;Antibodies;Apical;Architecture;Biological Assay;CD47 gene;Cell Adhesion Molecules;Cell Differentiation process;Cell Physiology;Cell model;Cells;Characteristics;Chronic;Chronic Disease;Clinical;Collaborations;Complex;Crosslinker;Cultured Cells;Cytoplasm;Cytoskeleton;Data;Drug Controls;Drug Delivery Systems;Engineering;Epithelial Cells;Epithelium;F-Actin;Goals;Growth;Human;Impairment;In Vitro;Inflammation;Inflammatory;Integrins;Knowledge;Label;Laboratories;Ligand Binding;Liquid substance;Lung;Lung Diseases;Measurement;Measures;Mechanics;Membrane;Methods;Molecular;Molecular Conformation;Morphology;Nanostructures;Nanotopography;Nasal Epithelium;Nasal Polyps;Nasal cavity;Nose;Organoids;Otolaryngology;Patients;Permeability;Phenotype;Physiological;Polyps;Proteins;Proteome;Quality of life;Regulation;Resistance;Role;Scaffolding Protein;Series;Specificity;Structure;Structure of mucous membrane of nose;Surface;Talin;Testing;Tight Junctions;Tissue Banks;Topical application;Work;airway epithelium;cell growth;chronic rhinosinusitis;cohort;cytokine;density;design;design and construction;electric impedance;flexibility;fluorescence lifetime imaging;improved;live cell microscopy;macromolecule;manufacture;nanoscale;nanowire;novel;novel therapeutics;particle;pharmacologic;polycaprolactone;polyposis;pulmonary function;scaffold;sensor;subcutaneous;success;superresolution microscopy;transcytosis","Regulation of epithelial function using targeted nanowires","PROJECT NARRATIVEIn this project multifunctional biodegradable nanowires are being designed manufactured andtested for their ability to interact with lung and nasal epithelial cells. Complexes that target anapically expressed cell adhesion molecule 1 integrin are being screened to identify nanowiresthat physiologically regulate airway epithelial function. One goal of this study is to evaluate 1integrin as a target for the ability to improve the barrier function of the lung epithelium and as anovel therapeutic for chronic rhinosinusitis with nasal polyposis a chronic disease with criticallyfew treatment options.","NHLBI","11109551","8/8/2025","PA-20-185","5R01HL158979-04","5","R01","HL","158979","04","","SHENOY, SIDDHARTH KAUP","8/5/2022","5/31/2026","Biomaterials and Biointerfaces Study Section[BMBI]"," ","1929629","KOVAL, MICHAEL H.","DESAI, TEJAL A.","05","INTERNAL MEDICINE/MEDICINE","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.791247","-84.3249","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","303221007","UNITED STATES","N","6/1/2025","5/31/2026"," ","93.838","Non-SBIR/STTR","2025","612502"," ","NHLBI","484268","128234"," ","612502",
