polymer,year,nih_count,nih_funding,log_funding,year_trend,predicted_patents,predicted_year
PCL,2026,8.0,3467311.0,15.058890211965169,11,32,2027
PCL,2027,8.0,3467311.0,15.058890211965169,12,34,2028
PCL,2028,8.0,3467311.0,15.058890211965169,13,35,2029
PEG,2026,12.0,5642892.0,15.545907435226228,11,194,2027
PEG,2027,12.0,5642892.0,15.545907435226228,12,202,2028
PEG,2028,12.0,5642892.0,15.545907435226228,13,211,2029
PLA,2026,3.0,955619.0,13.770115623473881,11,63,2027
PLA,2027,3.0,955619.0,13.770115623473881,12,66,2028
PLA,2028,3.0,955619.0,13.770115623473881,13,69,2029
PLGA,2026,6.0,2572471.0,14.760377862277366,11,40,2027
PLGA,2027,6.0,2572471.0,14.760377862277366,12,42,2028
PLGA,2028,6.0,2572471.0,14.760377862277366,13,44,2029
chitosan,2026,7.0,2971380.0,14.904537385872693,11,191,2027
chitosan,2027,7.0,2971380.0,14.904537385872693,12,200,2028
chitosan,2028,7.0,2971380.0,14.904537385872693,13,208,2029
hydrogel,2026,32.0,14809023.0,16.510747282654428,11,315,2027
hydrogel,2027,32.0,14809023.0,16.510747282654428,12,329,2028
hydrogel,2028,32.0,14809023.0,16.510747282654428,13,344,2029
polymeric_micelle,2026,0.0,0.0,0.0,11,6,2027
polymeric_micelle,2027,0.0,0.0,0.0,12,6,2028
polymeric_micelle,2028,0.0,0.0,0.0,13,6,2029
