total_cost,total_cost_ic,abs_diff,rel_diff_pct
360118,360118,0,0.0
623467,623467,0,0.0
358039,358039,0,0.0
351488,351488,0,0.0
496207,496207,0,0.0
567139,567139,0,0.0
1,1,0,0.0
609749,609749,0,0.0
201250,201250,0,0.0
489858,489858,0,0.0
343819,343819,0,0.0
544453,544453,0,0.0
351488,351488,0,0.0
430763,430763,0,0.0
240813,240813,0,0.0
231750,231750,0,0.0
579208,579208,0,0.0
490384,490384,0,0.0
351090,351090,0,0.0
237000,237000,0,0.0
295924,295924,0,0.0
226406,226406,0,0.0
572735,572735,0,0.0
436239,436239,0,0.0
486930,486930,0,0.0
193125,193125,0,0.0
243750,243750,0,0.0
347824,347824,0,0.0
197500,197500,0,0.0
187031,187031,0,0.0
1119539,1119539,0,0.0
486930,486930,0,0.0
460961,460961,0,0.0
351577,351577,0,0.0
476097,476097,0,0.0
1380461,1380461,0,0.0
945393,945393,0,0.0
159829,159829,0,0.0
203020,203020,0,0.0
364754,364754,0,0.0
198150,198150,0,0.0
470531,470531,0,0.0
467666,467666,0,0.0
495643,495643,0,0.0
340875,340875,0,0.0
447680,447680,0,0.0
943895,943895,0,0.0
64444,64444,0,0.0
225220,225220,0,0.0
225000,225000,0,0.0
448184,448184,0,0.0
286946,286946,0,0.0
473841,473841,0,0.0
350472,350472,0,0.0
478506,478506,0,0.0
441739,441739,0,0.0
498525,498525,0,0.0
35855,35855,0,0.0
378660,378660,0,0.0
348047,348047,0,0.0
400000,400000,0,0.0
484330,484330,0,0.0
465597,465597,0,0.0
389355,389355,0,0.0
350472,350472,0,0.0
523095,523095,0,0.0
378660,378660,0,0.0
340875,340875,0,0.0
400000,400000,0,0.0
484330,484330,0,0.0
72928,72928,0,0.0
378660,378660,0,0.0
453856,453856,0,0.0
381690,381690,0,0.0
435877,435877,0,0.0
317630,317630,0,0.0
378750,378750,0,0.0
330892,330892,0,0.0
484330,484330,0,0.0
400000,400000,0,0.0
340875,340875,0,0.0
72766,72766,0,0.0
435877,435877,0,0.0
448500,448500,0,0.0
367638,367638,0,0.0
277846,277846,0,0.0
97895,97895,0,0.0
403819,403819,0,0.0
323363,323363,0,0.0
317630,317630,0,0.0
367638,367638,0,0.0
320433,320433,0,0.0
400000,400000,0,0.0
431003,431003,0,0.0
