polymer,lag,pearson_r,pearson_p,spearman_rho,spearman_p,n
chitosan,-2,-0.038452138884675274,0.9217624001552065,0.22594340036404525,0.5588463751684138,9
chitosan,-1,0.1502798586184821,0.6785869615299039,0.21884599572482327,0.5435509174040241,10
chitosan,0,-0.04213508035483432,0.9021036262839439,-0.16856535760393596,0.6202799923103801,11
chitosan,1,-0.06710576694703134,0.853865390426954,-0.35258521533443743,0.31766237942092473,10
chitosan,2,-0.04480446970366976,0.908877636731053,0.04184137043778616,0.9148857180816652,9
hydrogel,-2,0.5342441783457154,0.13842455175346072,0.5666666666666667,0.11163298761149111,9
hydrogel,-1,0.7521503772289543,0.012088303891899643,0.6606060606060605,0.037588377571409384,10
hydrogel,0,0.8579105050559275,0.0007297341856050492,0.790909090909091,0.003746082953397406,11
hydrogel,1,0.8291210111650718,0.00301843959847361,0.8060606060606059,0.004862061101964606,10
hydrogel,2,0.8109295207916879,0.007999606823855832,0.9166666666666666,0.0005066190663052084,9
pcl,-2,0.17551206739526215,0.651501447964006,0.2638895245352121,0.4926363887400309,9
pcl,-1,0.22314128765578917,0.5354655029077627,0.10562266547422455,0.7715108344920395,10
pcl,0,-0.0426208932828412,0.9009796456758822,-0.1296518626509113,0.7039888971591057,11
pcl,1,-0.08086496713630176,0.8242600758934402,-0.29201560454638553,0.4129566080316054,10
pcl,2,-0.21514646269380916,0.5782634342449591,-0.13801311186847084,0.7232666567968659,9
peg,-2,-0.4835622824742404,0.1872301180760118,-0.43333333333333335,0.2439524358800516,9
peg,-1,0.24777735105291604,0.49005533196806494,0.2121212121212121,0.5563057751029299,10
peg,0,0.24062707643597872,0.47600458402042317,0.19090909090909092,0.5739131682855215,11
peg,1,0.254618585013468,0.47774817680484255,0.6121212121212121,0.05997214247725524,10
peg,2,-0.23357744406158376,0.5452664942127575,-0.09999999999999999,0.797971695234851,9
pla,-2,0.2114472046810405,0.584971364194676,0.08333333333333334,0.831214097710308,9
pla,-1,-0.042701425783451874,0.9067607685795261,0.1515151515151515,0.6760651759978538,10
pla,0,-0.32892010525755144,0.3233204396782282,-0.22727272727272727,0.501535667604937,11
pla,1,0.01780355299367277,0.9610670698254536,-0.19999999999999998,0.5795840000000001,10
pla,2,0.6604125299157924,0.05285346451540908,0.6166666666666666,0.07692880993776309,9
plga,-2,0.2463855142747418,0.5227708013377851,0.21009145170400445,0.5874366877887087,9
plga,-1,0.6538718031851384,0.04028851157061759,0.6097674333191042,0.061239770697062615,10
plga,0,0.6833421141974093,0.02044782908967913,0.5296858873735789,0.09377967555539847,11
plga,1,0.46902467240809775,0.17148022854963263,0.26747843921922837,0.4549860079540271,10
plga,2,0.2531506768942071,0.511038932099759,0.15899720766358738,0.6828398157150526,9
polymeric_micelle,-2,,,,,9
polymeric_micelle,-1,,,,,10
polymeric_micelle,0,,,,,11
polymeric_micelle,1,,,,,10
polymeric_micelle,2,,,,,9
