polymer,year,nih_count
CHITOSAN,2015,11.0
CHITOSAN,2016,11.0
CHITOSAN,2017,11.0
CHITOSAN,2018,10.0
CHITOSAN,2019,15.0
CHITOSAN,2020,9.0
CHITOSAN,2021,8.0
CHITOSAN,2022,7.0
CHITOSAN,2023,9.0
CHITOSAN,2024,7.0
CHITOSAN,2025,7.0
HYDROGEL,2015,17.0
HYDROGEL,2016,18.0
HYDROGEL,2017,13.0
HYDROGEL,2018,9.0
HYDROGEL,2019,12.0
HYDROGEL,2020,14.0
HYDROGEL,2021,20.0
HYDROGEL,2022,29.0
HYDROGEL,2023,37.0
HYDROGEL,2024,32.0
HYDROGEL,2025,25.0
PCL,2015,3.0
PCL,2016,5.0
PCL,2017,2.0
PCL,2018,1.0
PCL,2019,1.0
PCL,2020,3.0
PCL,2021,6.0
PCL,2022,7.0
PCL,2023,10.0
PCL,2024,8.0
PCL,2025,12.0
PEG,2015,2.0
PEG,2016,0.0
PEG,2017,0.0
PEG,2018,0.0
PEG,2019,0.0
PEG,2020,0.0
PEG,2021,1.0
PEG,2022,1.0
PEG,2023,1.0
PEG,2024,3.0
PEG,2025,2.0
POLYMERIC_MICELLE,2015,2.0
POLYMERIC_MICELLE,2016,2.0
POLYMERIC_MICELLE,2017,2.0
POLYMERIC_MICELLE,2018,3.0
POLYMERIC_MICELLE,2019,3.0
POLYMERIC_MICELLE,2020,3.0
POLYMERIC_MICELLE,2021,3.0
POLYMERIC_MICELLE,2022,1.0
POLYMERIC_MICELLE,2023,1.0
