year,polymer,funding_usd,patent_count,funding_musd,efficiency_patents_per_1M
2015,chitosan,3309776.0,43,3.309776,12.991815760341487
2016,chitosan,3465767.0,129,3.465767,37.221198078232035
2017,chitosan,3975488.0,132,3.975488,33.20347086948822
2018,chitosan,3368239.0,166,3.368239,49.283913641520094
2019,chitosan,5103914.0,144,5.103914,28.21364153079382
2020,chitosan,5109655.0,132,5.109655,25.833446680842442
2021,chitosan,4203346.0,157,4.203346,37.351195928196255
2022,chitosan,2092399.0,161,2.092399,76.94517154710933
2023,chitosan,3225310.0,145,3.22531,44.95691886981407
2024,chitosan,2971380.0,184,2.97138,61.92408914376485
2025,chitosan,2756459.0,114,2.756459,41.357408182019036
2015,hydrogel,5690267.0,64,5.690267,11.247275391471085
2016,hydrogel,6231725.0,100,6.231725,16.046921197581728
2017,hydrogel,4608912.0,134,4.608912,29.074106860794913
2018,hydrogel,3865075.0,158,3.865075,40.87889626980071
2019,hydrogel,5027117.0,173,5.027117,34.4133625694409
2020,hydrogel,5864921.0,160,5.864921,27.28084487412533
2021,hydrogel,8303155.0,196,8.303155,23.605484903027826
2022,hydrogel,11567484.0,245,11.567484,21.18005955314051
2023,hydrogel,14809023.0,298,14.809023,20.12286698454044
2024,hydrogel,15045396.0,343,15.045396,22.79767179275308
2025,hydrogel,12940353.0,210,12.940353,16.22830536384904
2015,pcl,967490.0,7,0.96749,7.235216901466682
2016,pcl,1609427.0,19,1.609427,11.805443800806126
2017,pcl,780052.0,40,0.780052,51.278632706537515
2018,pcl,453153.0,20,0.453153,44.135203783269674
2019,pcl,459143.0,20,0.459143,43.55941395164469
2020,pcl,1127347.0,20,1.127347,17.740766596265388
2021,pcl,2189792.0,19,2.189792,8.676623167862518
2022,pcl,3467311.0,15,3.467311,4.326119001151036
2023,pcl,3727664.0,19,3.727664,5.097025912206679
2024,pcl,3046471.0,32,3.046471,10.503956873379067
2025,pcl,4304497.0,21,4.304497,4.8786188026150334
2015,peg,4901887.0,51,4.901887,10.404156603365193
2016,peg,5586320.0,114,5.58632,20.406994228758826
2017,peg,5116994.0,141,5.116994,27.555240439992698
2018,peg,5455643.0,172,5.455643,31.526989577580498
2019,peg,5768054.0,135,5.768054,23.404773949758443
2020,peg,2686412.0,127,2.686412,47.274952613374275
2021,peg,4259874.0,128,4.259874,30.047837095651186
2022,peg,5642892.0,181,5.642892,32.075751228270896
2023,peg,6551708.0,154,6.551708,23.505321055211862
2024,peg,5407812.0,195,5.407812,36.05894583613484
2025,peg,5838316.0,112,5.838316,19.183613905105513
2015,pla,1228230.0,11,1.22823,8.955977300668442
2016,pla,707142.0,31,0.707142,43.8384369758832
2017,pla,384846.0,54,0.384846,140.3158666063828
2018,pla,585030.0,49,0.58503,83.75638856127036
2019,pla,1044941.0,36,1.044941,34.45170588578686
2020,pla,1339676.0,37,1.339676,27.618618233065305
2021,pla,928712.0,53,0.928712,57.068283816726826
2022,pla,508280.0,52,0.50828,102.3058156921382
2023,pla,1292817.0,50,1.292817,38.67523400450334
2024,pla,955619.0,56,0.955619,58.60076034486548
2025,pla,464682.0,34,0.464682,73.16831725782363
2015,plga,687213.0,12,0.687213,17.46183497692855
2016,plga,566713.0,16,0.566713,28.232985655878725
2017,plga,1234226.0,28,1.234226,22.686282739141777
2018,plga,2751469.0,24,2.751469,8.722613265859072
2019,plga,2579911.0,35,2.579911,13.566359459686787
2020,plga,3015291.0,27,3.015291,8.954359628971135
2021,plga,3413494.0,30,3.413494,8.788648815553799
2022,plga,2190096.0,35,2.190096,15.981034621313404
2023,plga,3164313.0,38,3.164313,12.008925792107165
2024,plga,2572471.0,44,2.572471,17.104177267693203
2025,plga,1454470.0,24,1.45447,16.500855981904063
2015,polymeric_micelle,0.0,2,0.0,
2016,polymeric_micelle,0.0,5,0.0,
2017,polymeric_micelle,0.0,9,0.0,
2018,polymeric_micelle,0.0,3,0.0,
2019,polymeric_micelle,0.0,3,0.0,
2020,polymeric_micelle,0.0,1,0.0,
2021,polymeric_micelle,0.0,5,0.0,
2022,polymeric_micelle,0.0,3,0.0,
2023,polymeric_micelle,0.0,3,0.0,
2024,polymeric_micelle,0.0,2,0.0,
2025,polymeric_micelle,0.0,1,0.0,
