polymer,year,patent_count
CHITOSAN,2015,38
CHITOSAN,2016,118
CHITOSAN,2017,119
CHITOSAN,2018,145
CHITOSAN,2019,132
CHITOSAN,2020,121
CHITOSAN,2021,137
CHITOSAN,2022,146
CHITOSAN,2023,129
CHITOSAN,2024,164
CHITOSAN,2025,102
HYDROGEL,2015,61
HYDROGEL,2016,93
HYDROGEL,2017,127
HYDROGEL,2018,138
HYDROGEL,2019,152
HYDROGEL,2020,141
HYDROGEL,2021,181
HYDROGEL,2022,219
HYDROGEL,2023,277
HYDROGEL,2024,307
HYDROGEL,2025,191
PCL,2015,5
PCL,2016,17
PCL,2017,30
PCL,2018,12
PCL,2019,19
PCL,2020,12
PCL,2021,11
PCL,2022,8
PCL,2023,14
PCL,2024,28
PCL,2025,19
PEG,2015,55
PEG,2016,127
PEG,2017,162
PEG,2018,209
PEG,2019,157
PEG,2020,155
PEG,2021,157
PEG,2022,212
PEG,2023,177
PEG,2024,223
PEG,2025,123
PLGA,2015,15
PLGA,2016,20
PLGA,2017,35
PLGA,2018,34
PLGA,2019,46
PLGA,2020,37
PLGA,2021,47
PLGA,2022,52
PLGA,2023,60
PLGA,2024,77
PLGA,2025,45
POLYMERIC_MICELLE,2015,3
POLYMERIC_MICELLE,2016,6
POLYMERIC_MICELLE,2017,14
POLYMERIC_MICELLE,2018,4
POLYMERIC_MICELLE,2019,3
POLYMERIC_MICELLE,2020,4
POLYMERIC_MICELLE,2021,9
POLYMERIC_MICELLE,2022,4
POLYMERIC_MICELLE,2023,6
POLYMERIC_MICELLE,2024,3
POLYMERIC_MICELLE,2025,2
