year,polymer,nih_projects,funding_usd,patent_count,funding_total_year,funding_share_total
2015,CHITOSAN,11.0,3309776.0,43,16784863,0.19718814505665014
2015,HYDROGEL,17.0,5690267.0,64,16784863,0.33901182273575897
2015,PCL,3.0,967490.0,7,16784863,0.05764062536584302
2015,PEG,17.0,4901887.0,51,16784863,0.2920421215234226
2015,PLA,3.0,1228230.0,11,16784863,0.07317485999141012
2015,PLGA,3.0,687213.0,12,16784863,0.04094242532691509
2015,POLYMERIC_MICELLE,0.0,0.0,2,16784863,0.0
2016,CHITOSAN,11.0,3465767.0,129,18487094,0.18746953956094992
2016,HYDROGEL,18.0,6551725.0,100,18487094,0.35439453058441744
2016,PCL,5.0,1609427.0,19,18487094,0.08705678675080032
2016,PEG,17.0,5586320.0,114,18487094,0.30217404639149886
2016,PLA,2.0,707142.0,31,18487094,0.03825057632097289
2016,PLGA,3.0,566713.0,16,18487094,0.03065452039136059
2016,POLYMERIC_MICELLE,0.0,0.0,5,18487094,0.0
2017,CHITOSAN,11.0,3975488.0,132,16420518,0.2421049080181271
2017,HYDROGEL,13.0,4928912.0,134,16420518,0.30016787533742845
2017,PCL,2.0,780052.0,40,16420518,0.0475047133105058
2017,PEG,15.0,5116994.0,141,16420518,0.3116219597944474
2017,PLA,1.0,384846.0,54,16420518,0.023436897666687495
2017,PLGA,3.0,1234226.0,28,16420518,0.07516364587280377
2017,POLYMERIC_MICELLE,0.0,0.0,9,16420518,0.0
2018,CHITOSAN,9.0,3368239.0,166,16478609,0.20440068697546013
2018,HYDROGEL,10.0,3865075.0,158,16478609,0.2345510473608543
2018,PCL,1.0,453153.0,20,16478609,0.027499469160291383
2018,PEG,14.0,5455643.0,172,16478609,0.3310742429776688
2018,PLA,2.0,585030.0,49,16478609,0.035502389795158074
2018,PLGA,6.0,2751469.0,24,16478609,0.1669721637305673
2018,POLYMERIC_MICELLE,0.0,0.0,3,16478609,0.0
2019,CHITOSAN,14.0,5103914.0,144,19983080,0.25541177836449636
2019,HYDROGEL,14.0,5027117.0,173,19983080,0.2515686771008273
2019,PCL,1.0,459143.0,20,19983080,0.022976588193611796
2019,PEG,16.0,5768054.0,135,19983080,0.2886468952734013
2019,PLA,3.0,1044941.0,36,19983080,0.05229128843001179
2019,PLGA,6.0,2579911.0,35,19983080,0.12910477263765147
2019,POLYMERIC_MICELLE,0.0,0.0,3,19983080,0.0
2020,CHITOSAN,9.0,5109655.0,132,19143302,0.26691607330856504
2020,HYDROGEL,14.0,5864921.0,160,19143302,0.30636935049136244
2020,PCL,3.0,1127347.0,20,19143302,0.05888989266324065
2020,PEG,10.0,2686412.0,127,19143302,0.14033169408287036
2020,PLA,3.0,1339676.0,37,19143302,0.06998144834156615
2020,PLGA,11.0,3015291.0,27,19143302,0.15751154111239535
2020,POLYMERIC_MICELLE,0.0,0.0,1,19143302,0.0
2021,CHITOSAN,8.0,4203346.0,157,23298373,0.18041371386748767
2021,HYDROGEL,20.0,8303155.0,196,23298373,0.3563834693521303
2021,PCL,6.0,2189792.0,19,23298373,0.09398905236859244
2021,PEG,9.0,4259874.0,128,23298373,0.18283997771003152
2021,PLA,2.0,928712.0,53,23298373,0.0398616675936985
2021,PLGA,10.0,3413494.0,30,23298373,0.1465121191080596
2021,POLYMERIC_MICELLE,0.0,0.0,5,23298373,0.0
2022,CHITOSAN,7.0,2092399.0,161,25468462,0.08215647258165805
2022,HYDROGEL,29.0,11567484.0,245,25468462,0.4541885568119504
2022,PCL,8.0,3467311.0,15,25468462,0.13614135788804207
2022,PEG,12.0,5642892.0,181,25468462,0.22156390912022877
2022,PLA,2.0,508280.0,52,25468462,0.019957231810856894
2022,PLGA,6.0,2190096.0,35,25468462,0.0859924717872638
2022,POLYMERIC_MICELLE,0.0,0.0,3,25468462,0.0
2023,CHITOSAN,9.0,3225310.0,145,32770835,0.09842013485466575
2023,HYDROGEL,37.0,14809023.0,298,32770835,0.451896419483971
2023,PCL,9.0,3727664.0,19,32770835,0.1137494360458011
2023,PEG,15.0,6551708.0,154,32770835,0.19992496376732544
2023,PLA,3.0,1292817.0,50,32770835,0.03945023067004549
2023,PLGA,7.0,3164313.0,38,32770835,0.09655881517819122
2023,POLYMERIC_MICELLE,0.0,0.0,3,32770835,0.0
2024,CHITOSAN,7.0,2971380.0,184,29999149,0.09904880968456806
2024,HYDROGEL,32.0,15045396.0,343,29999149,0.5015274266613363
2024,PCL,7.0,3046471.0,32,29999149,0.10155191402262778
2024,PEG,12.0,5407812.0,195,29999149,0.18026551353173384
2024,PLA,3.0,955619.0,56,29999149,0.031854870283153695
2024,PLGA,5.0,2572471.0,44,29999149,0.08575146581658033
2024,POLYMERIC_MICELLE,0.0,0.0,2,29999149,0.0
2025,CHITOSAN,7.0,2756459.0,114,27758777,0.09930044828704089
2025,HYDROGEL,25.0,12940353.0,210,27758777,0.4661715824151763
2025,PCL,11.0,4304497.0,21,27758777,0.15506796282847765
2025,PEG,13.0,5838316.0,111,27758777,0.21032324298725408
2025,PLA,2.0,464682.0,34,27758777,0.01674000263051935
2025,PLGA,3.0,1454470.0,24,27758777,0.05239676085153175
2025,POLYMERIC_MICELLE,0.0,0.0,1,27758777,0.0
