year,polymer,nih_projects,funding_usd,patent_count,funding_share
2015,CHITOSAN,0.0,0.0,0.0,0.0
2015,HYDROGEL,0.0,0.0,0.0,0.0
2015,PCL,3.0,967490.0,5.0,0.08839830394108839
2015,PEG,2.0,409829.0,55.0,0.03744554311245833
2015,PLA,0.0,0.0,0.0,0.0
2015,PLGA,0.0,0.0,15.0,0.0
2015,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2015,chitosan,11.0,3309776.0,39.0,0.30240993170463754
2015,hydrogel,17.0,5690267.0,61.0,0.5199123006666169
2015,micelle,2.0,567305.0,3.0,0.05183392057519886
2016,CHITOSAN,0.0,0.0,0.0,0.0
2016,HYDROGEL,0.0,0.0,0.0,0.0
2016,PCL,5.0,1609427.0,17.0,0.13616798383474388
2016,PEG,0.0,0.0,127.0,0.0
2016,PLA,0.0,0.0,0.0,0.0
2016,PLGA,0.0,0.0,20.0,0.0
2016,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2016,chitosan,11.0,3465767.0,118.0,0.29322641215226836
2016,hydrogel,18.0,6231725.0,93.0,0.5272444348594681
2016,micelle,2.0,512504.0,6.0,0.04336116915351959
2017,CHITOSAN,0.0,0.0,0.0,0.0
2017,HYDROGEL,0.0,0.0,0.0,0.0
2017,PCL,2.0,780052.0,30.0,0.07827603508138158
2017,PEG,0.0,0.0,162.0,0.0
2017,PLA,0.0,0.0,0.0,0.0
2017,PLGA,0.0,0.0,35.0,0.0
2017,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2017,chitosan,11.0,3975488.0,119.0,0.3989290946675497
2017,hydrogel,13.0,4608912.0,127.0,0.4624914203142874
2017,micelle,2.0,600948.0,14.0,0.060303449936781266
2018,CHITOSAN,0.0,0.0,0.0,0.0
2018,HYDROGEL,0.0,0.0,0.0,0.0
2018,PCL,1.0,453153.0,12.0,0.05279845083624666
2018,PEG,0.0,0.0,209.0,0.0
2018,PLA,0.0,0.0,0.0,0.0
2018,PLGA,0.0,0.0,34.0,0.0
2018,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2018,chitosan,10.0,3533766.0,146.0,0.4117315132368097
2018,hydrogel,9.0,3699548.0,138.0,0.4310473575025094
2018,micelle,3.0,896228.0,4.0,0.10442267842443428
2019,CHITOSAN,0.0,0.0,0.0,0.0
2019,HYDROGEL,0.0,0.0,0.0,0.0
2019,PCL,1.0,459143.0,19.0,0.03941970967454183
2019,PEG,0.0,0.0,157.0,0.0
2019,PLA,0.0,0.0,0.0,0.0
2019,PLGA,0.0,0.0,46.0,0.0
2019,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2019,chitosan,15.0,5292104.0,132.0,0.45435344380178183
2019,hydrogel,12.0,4670627.0,152.0,0.40099655300870596
2019,micelle,3.0,1225675.0,3.0,0.1052302935149704
2020,CHITOSAN,0.0,0.0,0.0,0.0
2020,HYDROGEL,0.0,0.0,0.0,0.0
2020,PCL,3.0,1127347.0,12.0,0.08477647744470451
2020,PEG,0.0,0.0,155.0,0.0
2020,PLA,0.0,0.0,0.0,0.0
2020,PLGA,0.0,0.0,37.0,0.0
2020,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2020,chitosan,9.0,5109655.0,121.0,0.38424597915080416
2020,hydrogel,14.0,5864921.0,141.0,0.4410419709916058
2020,micelle,3.0,1195952.0,4.0,0.08993557241288552
2021,CHITOSAN,0.0,0.0,0.0,0.0
2021,HYDROGEL,0.0,0.0,0.0,0.0
2021,PCL,6.0,2189792.0,11.0,0.13339833718712454
2021,PEG,1.0,512934.0,157.0,0.03124705117506162
2021,PLA,0.0,0.0,0.0,0.0
2021,PLGA,0.0,0.0,47.0,0.0
2021,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2021,chitosan,8.0,4203346.0,138.0,0.25606056055650545
2021,hydrogel,20.0,8303155.0,181.0,0.5058138263391952
2021,micelle,3.0,1206210.0,9.0,0.07348022474211317
2022,CHITOSAN,0.0,0.0,0.0,0.0
2022,HYDROGEL,0.0,0.0,0.0,0.0
2022,PCL,7.0,2718050.0,8.0,0.1545319527595755
2022,PEG,1.0,465178.0,212.0,0.02644721941126683
2022,PLA,0.0,0.0,0.0,0.0
2022,PLGA,0.0,0.0,52.0,0.0
2022,POLYMERIC_MICELLE,0.0,0.0,0.0,0.0
2022,chitosan,7.0,2092399.0,147.0,0.11896120506325603
2022,hydrogel,29.0,11567484.0,219.0,0.6576574717297863
2022,micelle,1.0,745808.0,4.0,0.04240215103611541
2023,CHITOSAN,0.0,0.0,0.0,0.0
