year,polymer,funding_usd,funding_musd
2015,CHITOSAN,3309776.0,3.309776
2015,HYDROGEL,5690267.0,5.690267
2015,MICELLE,567305.0,0.567305
2015,PCL,967490.0,0.96749
2015,PEG,409829.0,0.409829
2016,CHITOSAN,3465767.0,3.465767
2016,HYDROGEL,6231725.0,6.231725
2016,MICELLE,512504.0,0.512504
2016,PCL,1609427.0,1.609427
2016,PEG,0.0,0.0
2017,CHITOSAN,3975488.0,3.975488
2017,HYDROGEL,4608912.0,4.608912
2017,MICELLE,600948.0,0.600948
2017,PCL,780052.0,0.780052
2017,PEG,0.0,0.0
2018,CHITOSAN,3533766.0,3.533766
2018,HYDROGEL,3699548.0,3.699548
2018,MICELLE,896228.0,0.896228
2018,PCL,453153.0,0.453153
2018,PEG,0.0,0.0
2019,CHITOSAN,5292104.0,5.292104
2019,HYDROGEL,4670627.0,4.670627
2019,MICELLE,1225675.0,1.225675
2019,PCL,459143.0,0.459143
2019,PEG,0.0,0.0
2020,CHITOSAN,5109655.0,5.109655
2020,HYDROGEL,5864921.0,5.864921
2020,MICELLE,1195952.0,1.195952
2020,PCL,1127347.0,1.127347
2020,PEG,0.0,0.0
2021,CHITOSAN,4203346.0,4.203346
2021,HYDROGEL,8303155.0,8.303155
2021,MICELLE,1206210.0,1.20621
2021,PCL,2189792.0,2.189792
2021,PEG,512934.0,0.512934
2022,CHITOSAN,2092399.0,2.092399
2022,HYDROGEL,11567484.0,11.567484
2022,MICELLE,745808.0,0.745808
2022,PCL,2718050.0,2.71805
2022,PEG,465178.0,0.465178
2023,CHITOSAN,3225310.0,3.22531
2023,HYDROGEL,14484413.0,14.484413
2023,MICELLE,326149.0,0.326149
2023,PCL,4115510.0,4.11551
2023,PEG,460492.0,0.460492
2024,CHITOSAN,2971380.0,2.97138
2024,HYDROGEL,14660372.0,14.660372
2024,MICELLE,0.0,0.0
2024,PCL,3464985.0,3.464985
2024,PEG,1000048.0,1.000048
2025,CHITOSAN,2756459.0,2.756459
2025,HYDROGEL,12603798.0,12.603798
2025,MICELLE,0.0,0.0
2025,PCL,4814303.0,4.814303
2025,PEG,500332.0,0.500332
