year,polymer,nih_count,patent_count,nih_share,patent_share
2015,CHITOSAN,11,43,0.3142857142857143,0.2037914691943128
2015,HYDROGEL,17,67,0.4857142857142857,0.3175355450236967
2015,MICELLE,2,10,0.05714285714285714,0.04739336492890995
2015,PCL,3,8,0.08571428571428572,0.037914691943127965
2015,PEG,2,57,0.05714285714285714,0.27014218009478674
2015,PLGA,0,15,0.0,0.07109004739336493
2015,PLA,0,8,0.0,0.037914691943127965
2015,POLYMERIC_MICELLE,0,3,0.0,0.014218009478672985
2016,CHITOSAN,11,129,0.3055555555555556,0.27801724137931033
2016,HYDROGEL,18,116,0.5,0.25
2016,MICELLE,2,24,0.05555555555555555,0.05172413793103448
2016,PCL,5,21,0.1388888888888889,0.04525862068965517
2016,PEG,0,132,0.0,0.28448275862068967
2016,PLGA,0,20,0.0,0.04310344827586207
2016,PLA,0,13,0.0,0.028017241379310345
2016,POLYMERIC_MICELLE,0,9,0.0,0.01939655172413793
2017,CHITOSAN,11,132,0.39285714285714285,0.21153846153846154
2017,HYDROGEL,13,148,0.4642857142857143,0.23717948717948717
2017,MICELLE,2,44,0.07142857142857142,0.07051282051282051
2017,PCL,2,44,0.07142857142857142,0.07051282051282051
2017,PEG,0,166,0.0,0.266025641025641
2017,PLGA,0,33,0.0,0.052884615384615384
2017,PLA,0,45,0.0,0.07211538461538461
2017,POLYMERIC_MICELLE,0,12,0.0,0.019230769230769232
2018,CHITOSAN,10,166,0.43478260869565216,0.23782234957020057
2018,HYDROGEL,9,178,0.391304347826087,0.25501432664756446
2018,MICELLE,3,25,0.13043478260869565,0.03581661891117478
2018,PCL,1,23,0.043478260869565216,0.0329512893982808
2018,PEG,0,213,0.0,0.30515759312320917
2018,PLGA,0,34,0.0,0.04871060171919771
2018,PLA,0,55,0.0,0.07879656160458452
2018,POLYMERIC_MICELLE,0,4,0.0,0.0057306590257879654
2019,CHITOSAN,15,143,0.4838709677419355,0.23027375201288244
2019,HYDROGEL,12,194,0.3870967741935484,0.31239935587761675
2019,MICELLE,3,21,0.0967741935483871,0.033816425120772944
2019,PCL,1,24,0.03225806451612903,0.03864734299516908
2019,PEG,0,167,0.0,0.2689210950080515
2019,PLGA,0,46,0.0,0.07407407407407407
2019,PLA,0,22,0.0,0.03542673107890499
2019,POLYMERIC_MICELLE,0,4,0.0,0.00644122383252818
2020,CHITOSAN,9,132,0.3103448275862069,0.22259696458684655
2020,HYDROGEL,14,184,0.4827586206896552,0.3102866779089376
2020,MICELLE,3,30,0.10344827586206896,0.050590219224283306
2020,PCL,3,21,0.10344827586206896,0.03541315345699832
2020,PEG,0,159,0.0,0.26812816188870153
2020,PLGA,0,37,0.0,0.06239460370994941
2020,PLA,0,26,0.0,0.04384485666104553
2020,POLYMERIC_MICELLE,0,4,0.0,0.006745362563237774
2021,CHITOSAN,8,156,0.21052631578947367,0.2314540059347181
2021,HYDROGEL,20,222,0.5263157894736842,0.3293768545994065
2021,MICELLE,3,28,0.07894736842105263,0.04154302670623145
2021,PCL,6,22,0.15789473684210525,0.032640949554896145
2021,PEG,1,164,0.02631578947368421,0.2433234421364985
2021,PLGA,0,47,0.0,0.06973293768545995
2021,PLA,0,30,0.0,0.04451038575667656
2021,POLYMERIC_MICELLE,0,5,0.0,0.00741839762611276
2022,CHITOSAN,7,162,0.15555555555555556,0.2025
2022,HYDROGEL,29,290,0.6444444444444445,0.3625
2022,MICELLE,1,28,0.022222222222222223,0.035
2022,PCL,7,19,0.15555555555555556,0.02375
2022,PEG,1,221,0.022222222222222223,0.27625
2022,PLGA,0,51,0.0,0.06375
2022,PLA,0,23,0.0,0.02875
2022,POLYMERIC_MICELLE,0,6,0.0,0.0075
2023,CHITOSAN,9,146,0.15517241379310345,0.18318695106649938
2023,HYDROGEL,37,338,0.6379310344827587,0.424090338770389
2023,MICELLE,1,25,0.017241379310344827,0.03136762860727729
2023,PCL,10,23,0.1724137931034483,0.028858218318695106
2023,PEG,1,185,0.017241379310344827,0.23212045169385195
2023,PLGA,0,57,0.0,0.07151819322459223
2023,PLA,0,20,0.0,0.025094102885821833
2023,POLYMERIC_MICELLE,0,3,0.0,0.0037641154328732747
2024,CHITOSAN,7,185,0.14,0.18407960199004975
2024,HYDROGEL,32,396,0.64,0.3940298507462687
2024,MICELLE,0,26,0.0,0.025870646766169153
2024,PCL,8,37,0.16,0.03681592039800995
2024,PEG,3,246,0.06,0.24477611940298508
2024,PLGA,0,76,0.0,0.07562189054726368
2024,PLA,0,37,0.0,0.03681592039800995
2024,POLYMERIC_MICELLE,0,2,0.0,0.001990049751243781
2025,CHITOSAN,7,114,0.15217391304347827,0.1915966386554622
2025,HYDROGEL,25,239,0.5434782608695652,0.4016806722689076
2025,MICELLE,0,18,0.0,0.030252100840336135
2025,PCL,12,22,0.2608695652173913,0.03697478991596639
2025,PEG,2,132,0.043478260869565216,0.2218487394957983
2025,PLGA,0,45,0.0,0.07563025210084033
2025,PLA,0,21,0.0,0.03529411764705882
2025,POLYMERIC_MICELLE,0,4,0.0,0.0067226890756302525
