year,polymer,funding_usd,patent_count,funding_share,patent_share
2015,PCL,967490.0,5,0.08839830394108839,0.028089887640449437
2015,PEG,409829.0,55,0.03744554311245833,0.3089887640449438
2015,PLGA,0.0,15,0.0,0.08426966292134831
2015,chitosan,3309776.0,39,0.30240993170463754,0.21910112359550563
2015,hydrogel,5690267.0,61,0.5199123006666169,0.34269662921348315
2015,micelle,567305.0,3,0.05183392057519886,0.016853932584269662
2016,PCL,1609427.0,17,0.13616798383474388,0.04461942257217848
2016,PEG,0.0,127,0.0,0.3333333333333333
2016,PLGA,0.0,20,0.0,0.05249343832020997
2016,chitosan,3465767.0,118,0.29322641215226836,0.30971128608923887
2016,hydrogel,6231725.0,93,0.5272444348594681,0.2440944881889764
2016,micelle,512504.0,6,0.04336116915351959,0.015748031496062992
2017,PCL,780052.0,30,0.07827603508138158,0.061601642710472276
2017,PEG,0.0,162,0.0,0.3326488706365503
2017,PLGA,0.0,35,0.0,0.07186858316221766
2017,chitosan,3975488.0,119,0.3989290946675497,0.24435318275154005
2017,hydrogel,4608912.0,127,0.4624914203142874,0.26078028747433263
2017,micelle,600948.0,14,0.060303449936781266,0.028747433264887063
2018,PCL,453153.0,12,0.05279845083624666,0.022099447513812154
2018,PEG,0.0,209,0.0,0.3848987108655617
2018,PLGA,0.0,34,0.0,0.06261510128913444
2018,chitosan,3533766.0,146,0.4117315132368097,0.26887661141804786
2018,hydrogel,3699548.0,138,0.4310473575025094,0.2541436464088398
2018,micelle,896228.0,4,0.10442267842443428,0.007366482504604052
2019,PCL,459143.0,19,0.03941970967454183,0.03732809430255403
2019,PEG,0.0,157,0.0,0.30844793713163066
2019,PLGA,0.0,46,0.0,0.09037328094302555
2019,chitosan,5292104.0,132,0.45435344380178183,0.2593320235756385
2019,hydrogel,4670627.0,152,0.40099655300870596,0.29862475442043224
2019,micelle,1225675.0,3,0.1052302935149704,0.005893909626719057
2020,PCL,1127347.0,12,0.08477647744470451,0.02553191489361702
2020,PEG,0.0,155,0.0,0.32978723404255317
2020,PLGA,0.0,37,0.0,0.07872340425531915
2020,chitosan,5109655.0,121,0.38424597915080416,0.2574468085106383
2020,hydrogel,5864921.0,141,0.4410419709916058,0.3
2020,micelle,1195952.0,4,0.08993557241288552,0.00851063829787234
2021,PCL,2189792.0,11,0.13339833718712454,0.020257826887661142
2021,PEG,512934.0,157,0.03124705117506162,0.289134438305709
2021,PLGA,0.0,47,0.0,0.0865561694290976
2021,chitosan,4203346.0,138,0.25606056055650545,0.2541436464088398
2021,hydrogel,8303155.0,181,0.5058138263391952,0.3333333333333333
2021,micelle,1206210.0,9,0.07348022474211317,0.016574585635359115
2022,PCL,2718050.0,8,0.1545319527595755,0.012461059190031152
2022,PEG,465178.0,212,0.02644721941126683,0.3302180685358255
2022,PLGA,0.0,52,0.0,0.08099688473520249
2022,chitosan,2092399.0,147,0.11896120506325603,0.22897196261682243
2022,hydrogel,11567484.0,219,0.6576574717297863,0.3411214953271028
2022,micelle,745808.0,4,0.04240215103611541,0.006230529595015576
2023,PCL,4115510.0,14,0.18200658645099474,0.021116138763197588
2023,PEG,460492.0,177,0.020365052449876558,0.2669683257918552
2023,PLGA,0.0,60,0.0,0.09049773755656108
2023,chitosan,3225310.0,129,0.1426378901633717,0.19457013574660634
2023,hydrogel,14484413.0,277,0.6405666774898887,0.4177978883861237
2023,micelle,326149.0,6,0.014423793445868308,0.00904977375565611
2024,PCL,3464985.0,28,0.15680946345814561,0.034912718204488775
2024,PEG,1000048.0,223,0.045257624582037616,0.27805486284289277
2024,PLGA,0.0,77,0.0,0.09600997506234414
2024,chitosan,2971380.0,164,0.13447114591557097,0.20448877805486285
2024,hydrogel,14660372.0,307,0.6634617660442458,0.3827930174563591
2024,micelle,0.0,3,0.0,0.003740648379052369
2025,PCL,4814303.0,19,0.23285746788907047,0.039337474120082816
2025,PEG,500332.0,123,0.024199981310664163,0.2546583850931677
2025,PLGA,0.0,45,0.0,0.09316770186335403
2025,chitosan,2756459.0,102,0.1333239854408913,0.2111801242236025
2025,hydrogel,12603798.0,192,0.6096185653593741,0.39751552795031053
2025,micelle,0.0,2,0.0,0.004140786749482402
